Date,Settle
1999-12-31,47.375
2000-01-03,45.25
2000-01-04,43.4375
2000-01-05,43.75
2000-01-06,43.25
2000-01-07,42.875
2000-01-10,44.125
2000-01-11,43.8125
2000-01-12,44.1875
2000-01-13,44.25
2000-01-14,44.625
2000-01-18,45.375
2000-01-19,44.1875
2000-01-20,43.75
2000-01-21,43.625
2000-01-24,42.9375
2000-01-25,41.875
2000-01-26,41.8125
2000-01-27,39.9375
2000-01-28,37.6875
2000-01-31,38.625
2000-02-01,38.625
2000-02-02,39.5625
2000-02-03,39.6875
2000-02-04,39.0625
2000-02-07,38.6875
2000-02-08,39.0625
2000-02-09,38.3125
2000-02-10,37.875
2000-02-11,37.875
2000-02-14,38.0625
2000-02-15,37.0
2000-02-16,36.875
2000-02-17,36.3125
2000-02-18,34.625
2000-02-22,35.375
2000-02-23,34.9375
2000-02-24,33.8125
2000-02-25,33.6875
2000-02-28,33.4375
2000-02-29,33.625
2000-03-01,34.4375
2000-03-02,34.0
2000-03-03,35.1875
2000-03-06,33.9375
2000-03-07,32.5
2000-03-08,33.25
2000-03-09,33.0
2000-03-10,33.3125
2000-03-13,34.125
2000-03-14,34.6875
2000-03-15,33.875
2000-03-16,33.0
2000-03-17,36.5
2000-03-20,36.5
2000-03-21,37.3125
2000-03-22,35.875
2000-03-23,36.125
2000-03-24,36.1875
2000-03-27,37.125
2000-03-28,36.5
2000-03-29,37.25
2000-03-30,37.0
2000-03-31,37.125
2000-04-03,37.4375
2000-04-04,38.375
2000-04-05,39.625
2000-04-06,39.875
2000-04-07,39.6875
2000-04-10,39.5
2000-04-11,40.0
2000-04-12,39.0
2000-04-13,38.0625
2000-04-14,36.0
2000-04-17,34.5625
2000-04-18,35.5
2000-04-19,34.5
2000-04-20,33.75
2000-04-24,33.625
2000-04-25,34.25
2000-04-26,33.5625
2000-04-27,29.25
2000-04-28,24.5
2000-05-01,26.375
2000-05-02,24.8125
2000-05-03,25.375
2000-05-04,25.5625
2000-05-05,25.6875
2000-05-08,25.5625
2000-05-09,25.8125
