Date,Settle
1999-12-31,88.0625
2000-01-03,89.65625
2000-01-04,81.03125
2000-01-05,78.21875
2000-01-06,70.03125
2000-01-07,75.0
2000-01-10,79.6875
2000-01-11,72.21875
2000-01-12,69.125
2000-01-13,71.5625
2000-01-14,70.21875
2000-01-18,69.53125
2000-01-19,73.3125
2000-01-20,77.8125
2000-01-21,77.46875
2000-01-24,70.03125
2000-01-25,74.5
2000-01-26,62.3125
2000-01-27,60.0
2000-01-28,55.28125
2000-01-31,63.5
2000-02-01,68.03125
2000-02-02,71.03125
2000-02-03,69.59375
2000-02-04,68.71875
2000-02-07,66.71875
2000-02-08,69.53125
2000-02-09,66.65625
2000-02-10,68.46875
2000-02-11,66.0
2000-02-14,63.5625
2000-02-15,63.3125
2000-02-16,60.9375
2000-02-17,65.0
2000-02-18,67.25
2000-02-22,65.28125
2000-02-23,73.4375
2000-02-24,69.84375
2000-02-25,66.78125
2000-02-28,71.625
2000-02-29,71.21875
2000-03-01,69.5
2000-03-02,66.09375
2000-03-03,65.9375
2000-03-06,66.625
2000-03-07,64.0
2000-03-08,64.5625
2000-03-09,63.5
2000-03-10,68.0625
2000-03-13,65.09375
2000-03-14,62.5625
2000-03-15,64.0
2000-03-16,66.4375
2000-03-17,68.125
2000-03-20,64.8125
2000-03-21,67.3125
2000-03-22,67.4375
2000-03-23,72.0625
2000-03-24,73.0
2000-03-27,74.46875
2000-03-28,77.40625
2000-03-29,78.75
2000-03-30,72.6171875
2000-03-31,74.65625
2000-04-03,70.375
2000-04-04,73.3125
2000-04-05,70.625
2000-04-06,69.5625
2000-04-07,76.125
2000-04-10,70.59375
2000-04-11,68.71875
2000-04-12,62.5625
2000-04-13,63.25
2000-04-14,52.59375
2000-04-17,58.4375
2000-04-18,56.09375
2000-04-19,57.375
2000-04-20,54.75
2000-04-24,49.8125
2000-04-25,52.46875
2000-04-26,48.625
2000-04-27,51.75
2000-04-28,54.21875
2000-05-01,54.875
2000-05-02,56.84375
2000-05-03,55.46875
2000-05-04,53.34375
2000-05-05,54.875
2000-05-08,51.5
2000-05-09,52.5
2000-05-10,48.65625
2000-05-11,49.65625
2000-05-12,49.0
2000-05-15,52.15625
2000-05-16,54.34375
2000-05-17,51.578125
2000-05-18,48.46875
2000-05-19,44.59375
2000-05-22,44.21875
2000-05-23,39.6875
2000-05-24,38.375
2000-05-25,34.5
2000-05-26,33.03125
2000-05-30,38.1875
2000-05-31,33.1875
2000-06-01,34.5
2000-06-02,36.34375
2000-06-05,33.625
2000-06-06,34.4375
2000-06-07,37.34375
2000-06-08,38.71875
2000-06-09,39.53125
2000-06-12,40.84375
2000-06-13,40.6875
2000-06-14,35.25
2000-06-15,30.71875
2000-06-16,32.875
2000-06-19,32.59375
2000-06-20,31.46875
2000-06-21,32.25
2000-06-22,34.125
2000-06-23,33.1875
2000-06-26,32.375
2000-06-27,31.84375
2000-06-28,31.78125
2000-06-29,30.75
2000-06-30,30.0
2000-07-03,30.125
2000-07-05,29.21875
2000-07-06,30.84375
2000-07-07,28.3125
2000-07-10,27.4375
2000-07-11,26.5
2000-07-12,30.5
2000-07-13,31.0
2000-07-14,31.53125
2000-07-17,34.90625
2000-07-18,32.5625
2000-07-19,31.5
2000-07-20,31.53125
2000-07-21,31.40625
2000-07-24,31.8125
2000-07-25,34.1875
2000-07-26,34.34375
2000-07-27,32.78125
2000-07-28,31.21875
2000-07-31,32.46875
2000-08-01,31.46875
2000-08-02,30.96875
2000-08-03,32.125
2000-08-04,32.0
2000-08-07,31.78125
2000-08-08,30.53125
2000-08-09,30.71875
2000-08-10,30.71875
2000-08-11,30.8125
2000-08-14,31.3125
2000-08-15,30.6875
2000-08-16,30.25
2000-08-17,30.28125
2000-08-18,29.875
2000-08-21,29.5
2000-08-22,28.3125
2000-08-23,28.21875
2000-08-24,30.3125
2000-08-25,29.4375
2000-08-28,29.6875
2000-08-29,30.125
2000-08-30,29.15625
2000-08-31,29.9375
2000-09-01,29.625
2000-09-05,29.6875
2000-09-06,30.90625
2000-09-07,32.0625
2000-09-08,30.78125
2000-09-11,29.0625
2000-09-12,30.71875
2000-09-13,32.0
2000-09-14,31.3125
2000-09-15,33.125
2000-09-18,34.90625
2000-09-19,38.75
2000-09-20,37.5234375
2000-09-21,35.96875
2000-09-22,36.5
2000-09-25,35.0
2000-09-26,36.6875
2000-09-27,36.4375
2000-09-28,37.40625
2000-09-29,35.625
2000-10-02,35.65625
2000-10-03,36.25
2000-10-04,39.21875
2000-10-05,41.4375
2000-10-06,38.90625
2000-10-09,39.6875
2000-10-10,39.84375
2000-10-11,35.25
2000-10-12,32.1875
2000-10-13,34.96875
2000-10-16,38.5
2000-10-17,37.09375
2000-10-18,37.40625
2000-10-19,38.5
2000-10-20,37.375
2000-10-23,36.8125
2000-10-24,35.5
2000-10-25,32.875
2000-10-26,35.90625
2000-10-27,37.4375
2000-10-30,34.0625
2000-10-31,32.5546875
2000-11-01,30.75
2000-11-02,31.40625
2000-11-03,35.25
2000-11-06,35.28125
2000-11-07,36.875
2000-11-08,34.53125
2000-11-09,36.34375
2000-11-10,36.96875
2000-11-13,37.53125
2000-11-14,40.1875
2000-11-15,42.09375
2000-11-16,44.03125
2000-11-17,44.40625
2000-11-20,42.3125
2000-11-21,43.75
2000-11-22,39.46875
2000-11-24,42.25
2000-11-27,44.71875
2000-11-28,41.734375
2000-11-29,41.3125
2000-11-30,40.125
2000-12-01,41.5
2000-12-04,45.0
2000-12-05,49.8125
2000-12-06,49.6875
2000-12-07,52.21875
2000-12-08,51.625
2000-12-11,49.75
2000-12-12,44.90625
2000-12-13,45.65625
2000-12-14,44.03125
2000-12-15,39.78125
2000-12-18,42.71875
2000-12-19,41.71875
2000-12-20,38.5625
2000-12-21,37.90625
2000-12-22,42.5
2000-12-26,41.90625
2000-12-27,44.9375
2000-12-28,44.6875
2000-12-29,41.09375
2001-01-02,35.4375
2001-01-03,42.03125
2001-01-04,39.46875
2001-01-05,36.53125
2001-01-08,38.9375
2001-01-09,36.625
2001-01-10,36.21875
2001-01-11,35.28125
2001-01-12,35.90625
2001-01-16,35.46875
2001-01-17,36.5
2001-01-18,36.53125
2001-01-19,35.1875
2001-01-22,37.71875
2001-01-23,38.8125
2001-01-24,37.125
2001-01-25,36.96875
2001-01-26,40.5
2001-01-29,43.40625
2001-01-30,42.84375
2001-01-31,42.03125
2001-02-01,42.625
2001-02-02,43.40625
