Date,Settle
1999-12-31,44.5
2000-01-03,41.125
2000-01-04,38.375
2000-01-05,40.3125
2000-01-06,41.5
2000-01-07,40.875
2000-01-10,42.5
2000-01-11,40.875
2000-01-12,40.75
2000-01-13,40.25
2000-01-14,42.0
2000-01-18,44.0
2000-01-19,46.75
2000-01-20,48.0625
2000-01-21,48.8125
2000-01-24,48.9375
2000-01-25,47.625
2000-01-26,47.25
2000-01-27,45.0
2000-01-28,44.0
2000-01-31,41.375
2000-02-01,45.0
2000-02-02,45.875
2000-02-03,47.25
2000-02-04,48.75
2000-02-07,49.75
2000-02-08,54.0625
2000-02-09,53.0
2000-02-10,52.0
2000-02-11,52.125
2000-02-14,49.375
2000-02-15,49.0
2000-02-16,56.8125
2000-02-17,66.5
2000-02-18,58.875
2000-02-22,55.75
2000-02-23,59.25
2000-02-24,58.0
2000-02-25,59.375
2000-02-28,60.5625
2000-02-29,61.0
2000-03-01,64.875
2000-03-02,61.8125
2000-03-03,63.25
2000-03-06,65.0625
2000-03-07,60.375
2000-03-08,60.125
2000-03-09,59.75
2000-03-10,59.25
2000-03-13,58.75
2000-03-14,57.0625
2000-03-15,55.5
2000-03-16,55.0
2000-03-17,56.5
2000-03-20,52.875
2000-03-21,51.0625
2000-03-22,57.9375
2000-03-23,54.875
2000-03-24,54.75
2000-03-27,53.0625
2000-03-28,50.5
2000-03-29,47.0
2000-03-30,45.375
2000-03-31,57.0
2000-04-03,50.9375
2000-04-04,46.5
2000-04-05,46.0
2000-04-06,45.75
2000-04-07,46.875
2000-04-10,44.25
2000-04-11,42.875
2000-04-12,37.0
2000-04-13,35.0
2000-04-14,32.25
2000-04-17,31.125
2000-04-18,35.0
2000-04-19,36.875
2000-04-20,33.25
2000-04-24,33.375
2000-04-25,37.9375
2000-04-26,36.5
2000-04-27,40.25
2000-04-28,39.6875
2000-05-01,43.5
2000-05-02,43.375
2000-05-03,41.25
2000-05-04,42.4375
2000-05-05,44.0625
2000-05-08,44.4375
2000-05-09,42.875
2000-05-10,41.625
2000-05-11,42.125
2000-05-12,43.0
2000-05-15,43.4375
2000-05-16,43.9375
2000-05-17,41.5625
2000-05-18,39.3125
2000-05-19,37.125
2000-05-22,36.25
2000-05-23,37.25
2000-05-24,36.5
2000-05-25,37.0
2000-05-26,37.0
2000-05-30,39.375
2000-05-31,37.875
2000-06-01,39.0
2000-06-02,43.0625
2000-06-05,41.75
2000-06-06,41.9375
2000-06-07,41.5
2000-06-08,40.9375
2000-06-09,41.5625
2000-06-12,38.75
2000-06-13,39.875
2000-06-14,39.5625
2000-06-15,39.625
2000-06-16,39.625
2000-06-19,39.171875
2000-06-20,39.0
2000-06-21,39.9375
2000-06-22,41.0
2000-06-23,40.25
2000-06-26,40.875
2000-06-27,38.984375
2000-06-28,41.5
2000-06-29,42.25
2000-06-30,44.3125
2000-07-03,48.0625
2000-07-05,47.0625
2000-07-06,46.25
2000-07-07,47.375
2000-07-10,45.6875
2000-07-11,45.0
2000-07-12,45.375
2000-07-13,45.75
2000-07-14,49.25
2000-07-17,46.4375
2000-07-18,44.3125
2000-07-19,42.8125
2000-07-20,44.4375
2000-07-21,43.0
2000-07-24,41.3125
2000-07-25,40.0
2000-07-26,40.125
2000-07-27,39.0
2000-07-28,37.0
2000-07-31,38.375
2000-08-01,41.25
2000-08-02,40.375
2000-08-03,44.4375
2000-08-04,45.0
2000-08-07,46.75
2000-08-08,49.25
2000-08-09,46.0
2000-08-10,46.6875
2000-08-11,49.25
2000-08-14,53.4375
2000-08-15,49.875
2000-08-16,49.75
2000-08-17,50.6875
2000-08-18,50.375
2000-08-21,50.5
2000-08-22,50.75
2000-08-23,50.75
2000-08-24,50.875
2000-08-25,51.1875
2000-08-28,50.8125
2000-08-29,47.1875
2000-08-30,50.375
2000-08-31,51.5
2000-09-01,52.125
2000-09-05,54.125
2000-09-06,51.6875
2000-09-07,51.8125
2000-09-08,51.0
2000-09-11,50.875
2000-09-12,50.9375
2000-09-13,53.25
2000-09-14,53.125
2000-09-15,52.625
2000-09-18,53.125
2000-09-19,54.5
2000-09-20,54.1875
2000-09-21,51.0
2000-09-22,53.0625
2000-09-25,55.1875
2000-09-26,53.8125
2000-09-27,55.0
2000-09-28,56.375
2000-09-29,52.875
2000-10-02,54.0625
2000-10-03,54.4375
2000-10-04,53.75
2000-10-05,53.328125
2000-10-06,50.625
2000-10-09,50.5
2000-10-10,48.125
2000-10-11,45.75
2000-10-12,41.875
2000-10-13,50.484375
2000-10-16,46.125
2000-10-17,44.375
2000-10-18,45.375
2000-10-19,48.25
2000-10-20,51.125
2000-10-23,50.875
2000-10-24,49.765625
2000-10-25,48.0
2000-10-26,47.5
2000-10-27,48.125
2000-10-30,45.9375
2000-10-31,50.25
2000-11-01,48.125
2000-11-02,46.25
2000-11-03,44.125
2000-11-06,40.765625
2000-11-07,42.5
2000-11-08,42.0
2000-11-09,39.0
2000-11-10,36.75
2000-11-13,35.875
2000-11-14,36.5
2000-11-15,36.4375
2000-11-16,35.25
2000-11-17,36.4375
2000-11-20,34.0
2000-11-21,33.75
2000-11-22,31.3125
2000-11-24,35.0625
2000-11-27,36.25
2000-11-28,33.1875
2000-11-29,30.125
2000-11-30,32.125
2000-12-01,27.375
2000-12-04,24.0
2000-12-05,27.375
2000-12-06,29.5625
2000-12-07,26.6875
2000-12-08,30.4375
2000-12-11,25.0625
2000-12-12,23.75
2000-12-13,23.4375
2000-12-14,21.75
2000-12-15,23.0625
2000-12-18,21.5
2000-12-19,23.0625
2000-12-20,24.0
2000-12-21,24.875
2000-12-22,27.9375
2000-12-26,27.875
2000-12-27,29.375
2000-12-28,30.375
2000-12-29,29.9375
2001-01-02,26.5
2001-01-03,31.9375
2001-01-04,32.5625
2001-01-05,30.125
2001-01-08,29.5625
2001-01-09,31.4375
2001-01-10,32.5
2001-01-11,34.546875
2001-01-12,31.875
2001-01-16,31.5625
2001-01-17,34.875
2001-01-18,34.125
2001-01-19,35.0
2001-01-22,33.875
2001-01-23,34.5
2001-01-24,33.1875
2001-01-25,32.4375
2001-01-26,31.9375
2001-01-29,33.1875
2001-01-30,32.6875
2001-01-31,31.625
2001-02-01,31.3125
2001-02-02,30.0
2001-02-05,30.5625
2001-02-06,30.125
2001-02-07,29.9375
2001-02-08,29.4375
2001-02-09,29.5625
2001-02-12,30.0625
2001-02-13,29.9375
2001-02-14,28.75
2001-02-15,29.625
2001-02-16,29.125
2001-02-20,28.3125
2001-02-21,26.3125
2001-02-22,25.5625
2001-02-23,23.8125
2001-02-26,25.0625
2001-02-27,23.75
2001-02-28,23.5
2001-03-01,24.375
2001-03-02,24.375
2001-03-05,24.125
2001-03-06,24.5
2001-03-07,24.75
2001-03-08,23.5
2001-03-09,22.625
2001-03-12,21.75
2001-03-13,21.0
2001-03-14,19.4375
2001-03-15,18.5
2001-03-16,18.0625
2001-03-19,16.9375
2001-03-20,16.625
2001-03-21,14.25
2001-03-22,13.4375
2001-03-23,13.375
2001-03-26,13.6875
2001-03-27,13.75
2001-03-28,13.5
2001-03-29,12.5625
2001-03-30,12.4375
2001-04-02,11.75
2001-04-03,7.5625
2001-04-04,6.90625
2001-04-05,7.6875
2001-04-06,7.75
2001-04-09,7.610000133514404
2001-04-10,9.010000228881836
2001-04-11,9.770000457763672
2001-04-12,10.0600004196167
2001-04-16,9.010000228881836
2001-04-17,8.949999809265137
2001-04-18,9.930000305175781
2001-04-19,9.800000190734863
2001-04-20,10.100000381469727
2001-04-23,9.930000305175781
2001-04-24,9.5
2001-04-25,9.770000457763672
2001-04-26,9.729999542236328
2001-04-27,9.859999656677246
2001-04-30,10.3100004196167
2001-05-01,11.6899995803833
2001-05-02,13.239999771118164
2001-05-03,12.640000343322754
2001-05-04,12.140000343322754
2001-05-07,12.90999984741211
2001-05-08,12.890000343322754
2001-05-09,12.979999542236328
2001-05-10,12.949999809265137
2001-05-11,12.670000076293945
2001-05-14,13.100000381469727
