Date,Settle
1999-12-31,20.21875
2000-01-03,19.5625
2000-01-04,18.59375
2000-01-05,18.40625
2000-01-06,19.21875
2000-01-07,19.5625
2000-01-10,18.9375
2000-01-11,18.625
2000-01-12,19.15625
2000-01-13,20.21875
2000-01-14,20.84375
2000-01-18,19.4375
2000-01-19,18.375
2000-01-20,18.1875
2000-01-21,18.3125
2000-01-24,17.9375
2000-01-25,18.8125
2000-01-26,19.0
2000-01-27,19.5
2000-01-28,19.375
2000-01-31,20.0
2000-02-01,20.21875
2000-02-02,19.5
2000-02-03,19.4375
2000-02-04,19.28125
2000-02-07,19.09375
2000-02-08,19.46875
2000-02-09,18.9375
2000-02-10,18.375
2000-02-11,18.9375
2000-02-14,18.90625
2000-02-15,18.84375
2000-02-16,18.0
2000-02-17,17.46875
2000-02-18,16.75
2000-02-22,17.5
2000-02-23,17.0
2000-02-24,16.4375
2000-02-25,16.34375
2000-02-28,17.0625
2000-02-29,16.53125
2000-03-01,17.34375
2000-03-02,16.96875
2000-03-03,17.34375
2000-03-06,17.21875
2000-03-07,16.53125
2000-03-08,15.5
2000-03-09,16.40625
2000-03-10,16.09375
2000-03-13,16.3125
2000-03-14,15.9375
2000-03-15,18.0
2000-03-16,19.25
2000-03-17,19.25
2000-03-20,18.96875
2000-03-21,19.78125
2000-03-22,20.0
2000-03-23,20.71875
2000-03-24,20.5
2000-03-27,20.453125
2000-03-28,20.34375
2000-03-29,19.71875
2000-03-30,19.59375
2000-03-31,20.375
2000-04-03,21.84375
2000-04-04,21.625
2000-04-05,21.21875
2000-04-06,20.25
2000-04-07,19.875
2000-04-10,19.75
2000-04-11,20.1875
2000-04-12,21.0
2000-04-13,20.875
2000-04-14,20.0
2000-04-17,19.6875
2000-04-18,20.40625
2000-04-19,20.375
2000-04-20,20.90625
2000-04-24,21.375
2000-04-25,21.53125
2000-04-26,21.53125
2000-04-27,21.03125
2000-04-28,20.53125
2000-05-01,20.5625
2000-05-02,20.6875
2000-05-03,20.28125
2000-05-04,19.875
2000-05-05,19.9375
2000-05-08,20.625
2000-05-09,20.75
2000-05-10,20.78125
2000-05-11,21.25
2000-05-12,21.84375
2000-05-15,22.4375
2000-05-16,21.8125
2000-05-17,21.46875
2000-05-18,21.59375
2000-05-19,21.5625
2000-05-22,21.9375
2000-05-23,21.90625
2000-05-24,22.25
2000-05-25,21.9375
2000-05-26,22.1875
2000-05-30,22.4375
2000-05-31,22.625
2000-06-01,22.96875
2000-06-02,23.875
2000-06-05,22.5625
2000-06-06,22.46875
2000-06-07,22.75
2000-06-08,22.40625
2000-06-09,21.59375
2000-06-12,21.984375
2000-06-13,21.875
2000-06-14,22.28125
2000-06-15,21.03125
2000-06-16,19.15625
2000-06-19,20.125
2000-06-20,19.5625
2000-06-21,19.15625
2000-06-22,19.90625
2000-06-23,19.71875
2000-06-26,20.09375
2000-06-27,20.5
2000-06-28,20.546875
2000-06-29,20.375
2000-06-30,19.375
2000-07-03,20.34375
2000-07-05,20.71875
2000-07-06,21.25
2000-07-07,21.34375
2000-07-10,21.3125
2000-07-11,21.46875
2000-07-12,21.5625
2000-07-13,21.40625
2000-07-14,21.84375
2000-07-17,21.6875
2000-07-18,21.03125
2000-07-19,21.09375
2000-07-20,21.65625
2000-07-21,21.1875
2000-07-24,20.90625
2000-07-25,20.90625
2000-07-26,20.46875
2000-07-27,21.0
2000-07-28,20.9375
2000-07-31,20.75
2000-08-01,20.59375
2000-08-02,20.71875
2000-08-03,21.96875
2000-08-04,22.0625
2000-08-07,22.25
2000-08-08,22.15625
2000-08-09,22.125
2000-08-10,22.4375
2000-08-11,22.5
2000-08-14,22.625
2000-08-15,22.21875
2000-08-16,22.0625
2000-08-17,22.3125
2000-08-18,22.125
2000-08-21,22.1875
2000-08-22,22.78125
2000-08-23,22.59375
2000-08-24,22.375
2000-08-25,22.28125
2000-08-28,22.03125
2000-08-29,21.625
2000-08-30,21.75
2000-08-31,21.6015625
2000-09-01,21.46875
2000-09-05,21.84375
2000-09-06,22.21875
2000-09-07,22.5
2000-09-08,22.9453125
2000-09-11,23.125
2000-09-12,23.15625
2000-09-13,23.375
2000-09-14,22.71875
2000-09-15,22.921875
2000-09-18,22.34375
2000-09-19,23.25
2000-09-20,22.625
2000-09-21,22.3125
2000-09-22,22.625
2000-09-25,23.125
2000-09-26,23.0625
2000-09-27,23.15625
2000-09-28,23.375
2000-09-29,22.96875
2000-10-02,23.53125
2000-10-03,23.875
2000-10-04,23.5625
2000-10-05,23.84375
2000-10-06,23.28125
2000-10-09,23.0625
2000-10-10,22.40625
2000-10-11,21.9375
2000-10-12,21.375
2000-10-13,21.6875
2000-10-16,21.78125
2000-10-17,20.84375
2000-10-18,21.125
2000-10-19,21.34375
2000-10-20,21.15625
2000-10-23,21.09375
2000-10-24,21.65625
2000-10-25,21.25
2000-10-26,21.5
2000-10-27,21.84375
2000-10-30,22.90625
2000-10-31,23.15625
2000-11-01,23.1875
2000-11-02,23.25
2000-11-03,23.25
2000-11-06,23.40625
2000-11-07,23.25
2000-11-08,23.46875
2000-11-09,23.90625
2000-11-10,23.5625
2000-11-13,23.0
2000-11-14,23.3125
2000-11-15,22.375
2000-11-16,22.25
2000-11-17,22.375
2000-11-20,22.0
2000-11-21,22.5
2000-11-22,21.625
2000-11-24,21.6875
2000-11-27,22.15625
2000-11-28,22.84375
2000-11-29,23.46875
2000-11-30,23.71875
2000-12-01,23.6875
2000-12-04,23.375
2000-12-05,24.03125
2000-12-06,24.25
2000-12-07,24.78125
2000-12-08,24.71875
2000-12-11,24.875
2000-12-12,24.96875
2000-12-13,25.0
2000-12-14,24.9375
2000-12-15,25.21875
2000-12-18,26.34375
2000-12-19,26.40625
2000-12-20,26.46875
2000-12-21,26.46875
2000-12-22,26.96875
2000-12-26,27.46875
2000-12-27,27.65625
2000-12-28,27.875
2000-12-29,27.84375
2001-01-02,26.96875
2001-01-03,26.5625
2001-01-04,26.0
2001-01-05,26.1875
2001-01-08,25.9375
2001-01-09,24.71875
2001-01-10,24.34375
2001-01-11,24.625
2001-01-12,24.34375
2001-01-16,24.96875
2001-01-17,24.6875
2001-01-18,24.21875
2001-01-19,24.53125
2001-01-22,24.8125
2001-01-23,24.8125
2001-01-24,25.09375
2001-01-25,25.3125
2001-01-26,25.75
2001-01-29,25.565000534057617
2001-01-30,25.954999923706055
2001-01-31,25.7549991607666
2001-02-01,25.200000762939453
2001-02-02,25.1200008392334
2001-02-05,25.68000030517578
2001-02-06,25.44499969482422
2001-02-07,25.3700008392334
2001-02-08,25.549999237060547
2001-02-09,25.334999084472656
2001-02-12,25.399999618530273
2001-02-13,24.9950008392334
2001-02-14,25.139999389648438
2001-02-15,24.854999542236328
2001-02-16,25.05500030517578
2001-02-20,24.34000015258789
2001-02-21,24.010000228881836
2001-02-22,24.075000762939453
2001-02-23,24.235000610351562
2001-02-26,24.790000915527344
2001-02-27,25.03499984741211
2001-02-28,24.81999969482422
2001-03-01,24.780000686645508
2001-03-02,25.084999084472656
2001-03-05,24.915000915527344
2001-03-06,24.735000610351562
2001-03-07,25.6200008392334
2001-03-08,25.854999542236328
2001-03-09,25.2450008392334
2001-03-12,23.899999618530273
2001-03-13,24.725000381469727
2001-03-14,23.280000686645508
2001-03-15,24.360000610351562
2001-03-16,23.94499969482422
2001-03-19,24.014999389648438
2001-03-20,23.424999237060547
2001-03-21,22.709999084472656
2001-03-22,22.0
2001-03-23,22.71500015258789
2001-03-26,23.100000381469727
2001-03-27,24.295000076293945
2001-03-28,24.329999923706055
2001-03-29,24.014999389648438
2001-03-30,24.735000610351562
2001-04-02,24.844999313354492
2001-04-03,24.475000381469727
2001-04-04,22.9950008392334
2001-04-05,23.815000534057617
2001-04-06,23.125
2001-04-09,22.979999542236328
2001-04-10,23.6200008392334
2001-04-11,23.450000762939453
2001-04-12,23.885000228881836
2001-04-16,23.575000762939453
2001-04-17,22.850000381469727
2001-04-18,23.799999237060547
2001-04-19,23.985000610351562
2001-04-20,23.96500015258789
2001-04-23,23.774999618530273
2001-04-24,23.950000762939453
2001-04-25,23.524999618530273
2001-04-26,23.065000534057617
2001-04-27,23.90999984741211
2001-04-30,23.485000610351562
2001-05-01,23.670000076293945
2001-05-02,23.799999237060547
2001-05-03,23.725000381469727
2001-05-04,23.649999618530273
2001-05-07,23.670000076293945
2001-05-08,23.239999771118164
2001-05-09,23.0
2001-05-10,22.959999084472656
2001-05-11,22.75
2001-05-14,22.799999237060547
2001-05-15,22.59000015258789
2001-05-16,22.850000381469727
2001-05-17,22.704999923706055
2001-05-18,22.989999771118164
2001-05-21,23.100000381469727
2001-05-22,23.600000381469727
2001-05-23,23.969999313354492
2001-05-24,23.899999618530273
2001-05-25,23.434999465942383
2001-05-29,23.3799991607666
2001-05-30,23.350000381469727
2001-05-31,23.540000915527344
2001-06-01,23.65999984741211
2001-06-04,24.174999237060547
2001-06-05,24.385000228881836
2001-06-06,23.920000076293945
2001-06-07,23.829999923706055
2001-06-08,23.219999313354492
2001-06-11,22.8799991607666
2001-06-12,22.700000762939453
2001-06-13,22.184999465942383
2001-06-14,21.825000762939453
2001-06-15,21.575000762939453
2001-06-18,21.635000228881836
2001-06-19,21.7549991607666
2001-06-20,22.2549991607666
2001-06-21,23.100000381469727
2001-06-22,23.09000015258789
2001-06-25,22.684999465942383
2001-06-26,22.655000686645508
2001-06-27,22.889999389648438
2001-06-28,23.204999923706055
2001-06-29,23.21500015258789
2001-07-02,23.514999389648438
2001-07-03,23.565000534057617
2001-07-05,23.274999618530273
2001-07-06,23.0049991607666
2001-07-09,22.90999984741211
2001-07-10,22.614999771118164
2001-07-11,22.645000457763672
2001-07-12,22.84000015258789
2001-07-13,23.2450008392334
2001-07-16,23.014999389648438
2001-07-17,23.75
2001-07-18,23.475000381469727
2001-07-19,23.549999237060547
2001-07-20,23.1200008392334
2001-07-23,22.950000762939453
2001-07-24,22.709999084472656
2001-07-25,22.809999465942383
2001-07-26,22.735000610351562
2001-07-27,22.704999923706055
2001-07-30,22.899999618530273
2001-07-31,23.030000686645508
2001-08-01,23.290000915527344
2001-08-02,23.3700008392334
2001-08-03,23.364999771118164
2001-08-06,23.075000762939453
2001-08-07,23.06999969482422
2001-08-08,22.81999969482422
2001-08-09,22.78499984741211
2001-08-10,23.0
2001-08-13,23.299999237060547
2001-08-14,23.325000762939453
2001-08-15,23.540000915527344
2001-08-16,23.155000686645508
2001-08-17,23.03499984741211
2001-08-20,23.549999237060547
2001-08-21,23.655000686645508
2001-08-22,23.860000610351562
2001-08-23,23.78499984741211
2001-08-24,23.875
2001-08-27,23.760000228881836
2001-08-28,23.424999237060547
2001-08-29,22.975000381469727
2001-08-30,22.924999237060547
2001-08-31,23.0049991607666
2001-09-04,23.235000610351562
2001-09-05,23.084999084472656
2001-09-06,22.68000030517578
2001-09-07,22.364999771118164
2001-09-10,22.125
2001-09-17,21.75
2001-09-18,21.8799991607666
2001-09-19,22.05500030517578
2001-09-20,21.489999771118164
2001-09-21,21.225000381469727
2001-09-24,21.584999084472656
2001-09-25,21.774999618530273
2001-09-26,21.834999084472656
2001-09-27,21.850000381469727
2001-09-28,22.225000381469727
2001-10-01,22.229999542236328
2001-10-02,22.299999237060547
2001-10-03,22.375
2001-10-04,22.125
2001-10-05,21.524999618530273
2001-10-08,20.834999084472656
2001-10-09,20.84000015258789
2001-10-10,21.059999465942383
2001-10-11,20.924999237060547
2001-10-12,20.540000915527344
2001-10-15,20.385000228881836
2001-10-16,20.094999313354492
2001-10-17,19.424999237060547
2001-10-18,19.53499984741211
2001-10-19,19.5
2001-10-22,19.864999771118164
2001-10-23,20.0
2001-10-24,20.149999618530273
2001-10-25,20.700000762939453
2001-10-26,20.549999237060547
2001-10-29,20.0
2001-10-30,19.924999237060547
2001-10-31,19.75
2001-11-01,20.045000076293945
2001-11-02,20.040000915527344
2001-11-05,20.440000534057617
2001-11-06,21.200000762939453
2001-11-07,21.299999237060547
2001-11-08,21.2450008392334
2001-11-09,21.174999237060547
2001-11-12,21.309999465942383
2001-11-13,21.219999313354492
2001-11-14,21.170000076293945
2001-11-15,20.93000030517578
2001-11-16,21.18000030517578
2001-11-19,21.18000030517578
2001-11-20,21.155000686645508
2001-11-21,21.165000915527344
2001-11-23,21.43000030517578
2001-11-26,21.684999465942383
2001-11-27,21.55500030517578
2001-11-28,21.329999923706055
2001-11-29,21.545000076293945
2001-11-30,21.399999618530273
2001-12-03,21.225000381469727
2001-12-04,21.489999771118164
2001-12-05,21.690000534057617
2001-12-06,21.809999465942383
2001-12-07,21.860000610351562
2001-12-10,21.81999969482422
2001-12-11,21.719999313354492
2001-12-12,21.700000762939453
2001-12-13,21.360000610351562
2001-12-14,21.334999084472656
2001-12-17,21.469999313354492
2001-12-18,21.774999618530273
2001-12-19,21.799999237060547
2001-12-20,21.8700008392334
2001-12-21,21.575000762939453
2001-12-24,21.649999618530273
2001-12-26,21.584999084472656
2001-12-27,21.700000762939453
2001-12-28,21.799999237060547
2001-12-31,21.735000610351562
2002-01-02,21.719999313354492
2002-01-03,21.799999237060547
2002-01-04,21.854999542236328
2002-01-07,21.889999389648438
2002-01-08,21.80500030517578
2002-01-09,21.69499969482422
2002-01-10,21.735000610351562
2002-01-11,21.649999618530273
2002-01-14,21.510000228881836
2002-01-15,22.65999984741211
2002-01-16,22.674999237060547
2002-01-17,22.80500030517578
2002-01-18,22.690000534057617
2002-01-22,23.334999084472656
2002-01-23,23.479999542236328
2002-01-24,23.575000762939453
2002-01-25,23.549999237060547
2002-01-28,23.575000762939453
2002-01-29,22.860000610351562
2002-01-30,23.05500030517578
2002-01-31,23.19499969482422
2002-02-01,23.350000381469727
2002-02-04,22.854999542236328
2002-02-05,22.68000030517578
2002-02-06,22.6299991607666
2002-02-07,22.700000762939453
2002-02-08,22.889999389648438
2002-02-11,23.184999465942383
2002-02-12,23.209999084472656
2002-02-13,23.34000015258789
2002-02-14,23.28499984741211
2002-02-15,23.09000015258789
2002-02-19,22.75
2002-02-20,22.969999313354492
2002-02-21,22.875
2002-02-22,23.030000686645508
2002-02-25,23.299999237060547
2002-02-26,23.315000534057617
2002-02-27,23.424999237060547
2002-02-28,23.450000762939453
2002-03-01,23.920000076293945
2002-03-04,24.56999969482422
2002-03-05,24.309999465942383
2002-03-06,24.549999237060547
2002-03-07,24.44499969482422
2002-03-08,24.524999618530273
2002-03-11,24.649999618530273
2002-03-12,24.950000762939453
2002-03-13,24.799999237060547
2002-03-14,24.700000762939453
2002-03-15,25.25
2002-03-18,25.084999084472656
2002-03-19,25.094999313354492
2002-03-20,24.764999389648438
2002-03-21,24.600000381469727
2002-03-22,24.774999618530273
2002-03-25,24.520000457763672
2002-03-26,24.575000762939453
2002-03-27,24.815000534057617
2002-03-28,24.700000762939453
2002-04-01,24.46500015258789
2002-04-02,24.510000228881836
2002-04-03,24.149999618530273
2002-04-04,24.375
2002-04-05,24.485000610351562
2002-04-08,24.56999969482422
2002-04-09,24.645000457763672
2002-04-10,24.799999237060547
2002-04-11,24.549999237060547
2002-04-12,24.989999771118164
2002-04-15,24.795000076293945
2002-04-16,25.049999237060547
2002-04-17,25.549999237060547
2002-04-18,25.670000076293945
2002-04-19,25.545000076293945
2002-04-22,25.110000610351562
2002-04-23,24.915000915527344
2002-04-24,25.239999771118164
2002-04-25,25.399999618530273
2002-04-26,25.5
2002-04-29,25.28499984741211
2002-04-30,25.575000762939453
2002-05-01,25.5049991607666
2002-05-02,25.989999771118164
2002-05-03,25.864999771118164
2002-05-06,25.489999771118164
2002-05-07,25.649999618530273
2002-05-08,25.899999618530273
2002-05-09,25.46500015258789
2002-05-10,25.100000381469727
2002-05-13,25.59000015258789
2002-05-14,26.09000015258789
2002-05-15,26.1299991607666
2002-05-16,26.334999084472656
2002-05-17,26.389999389648438
2002-05-20,26.1200008392334
2002-05-21,26.299999237060547
2002-05-22,26.049999237060547
2002-05-23,26.604999542236328
