Date,Settle
1999-12-31,21.0625
2000-01-03,20.25
2000-01-04,20.25
2000-01-05,20.375
2000-01-06,22.3125
2000-01-07,23.8125
2000-01-10,23.0625
2000-01-11,23.5625
2000-01-12,22.5
2000-01-13,22.5
2000-01-14,22.75
2000-01-18,23.625
2000-01-19,23.4375
2000-01-20,22.125
2000-01-21,22.75
2000-01-24,23.0625
2000-01-25,22.875
2000-01-26,22.75
2000-01-27,21.5625
2000-01-28,20.8125
2000-01-31,24.6875
2000-02-01,24.125
2000-02-02,23.5
2000-02-03,23.875
2000-02-04,22.5
2000-02-07,23.3125
2000-02-08,22.625
2000-02-09,21.75
2000-02-10,22.5625
2000-02-11,22.75
2000-02-14,23.875
2000-02-15,25.5
2000-02-16,25.3125
2000-02-17,25.375
2000-02-18,24.5625
2000-02-22,24.25
2000-02-23,24.0
2000-02-24,24.8125
2000-02-25,24.0625
2000-02-28,25.125
2000-02-29,25.875
2000-03-01,27.3125
2000-03-02,28.4375
2000-03-03,26.75
2000-03-06,27.375
2000-03-07,29.0625
2000-03-08,26.625
2000-03-09,28.125
2000-03-10,27.25
2000-03-13,27.25
2000-03-14,26.75
2000-03-15,25.875
2000-03-16,27.375
2000-03-17,26.4375
2000-03-20,25.6875
2000-03-21,27.25
2000-03-22,27.0
2000-03-23,27.4375
2000-03-24,28.0
2000-03-27,27.8125
2000-03-28,28.8125
2000-03-29,30.8125
2000-03-30,29.9375
2000-03-31,30.25
2000-04-03,30.75
2000-04-04,30.25
2000-04-05,28.4375
2000-04-06,28.4375
2000-04-07,29.0
2000-04-10,26.0
2000-04-11,28.75
2000-04-12,29.4375
2000-04-13,28.4375
2000-04-14,28.375
2000-04-17,28.0
2000-04-18,28.4375
2000-04-19,28.5625
2000-04-20,29.875
2000-04-24,29.0
2000-04-25,29.3125
2000-04-26,31.75
2000-04-27,31.8125
2000-04-28,31.8125
2000-05-01,32.4375
2000-05-02,34.25
2000-05-03,33.25
2000-05-04,35.0
2000-05-05,35.1875
2000-05-08,35.0
2000-05-09,35.3125
2000-05-10,34.875
2000-05-11,36.0
2000-05-12,36.375
2000-05-15,36.75
2000-05-16,36.5625
2000-05-17,37.875
2000-05-18,36.15625
2000-05-19,35.6875
2000-05-22,34.1875
2000-05-23,36.0625
2000-05-24,34.875
2000-05-25,35.375
2000-05-26,33.6875
2000-05-30,34.125
2000-05-31,36.25
2000-06-01,35.375
2000-06-02,32.0625
2000-06-05,31.25
2000-06-06,32.75
2000-06-07,33.5
2000-06-08,34.0
2000-06-09,32.8125
2000-06-12,33.71875
2000-06-13,33.59375
2000-06-14,33.6875
2000-06-15,33.90625
2000-06-16,34.4375
2000-06-19,33.375
2000-06-20,33.15625
2000-06-21,35.21875
2000-06-22,34.03125
2000-06-23,33.59375
2000-06-26,33.53125
2000-06-27,33.96875
2000-06-28,32.03125
2000-06-29,32.46875
2000-06-30,32.0
2000-07-03,32.90625
2000-07-05,30.46875
2000-07-06,31.0
2000-07-07,30.9375
2000-07-10,30.34375
2000-07-11,34.1875
2000-07-12,33.15625
2000-07-13,33.0
2000-07-14,32.5
2000-07-17,31.625
2000-07-18,33.125
2000-07-19,33.5
2000-07-20,33.6875
2000-07-21,32.25
2000-07-24,31.0625
2000-07-25,30.5
2000-07-26,31.6875
2000-07-27,33.5625
2000-07-28,34.265625
2000-07-31,34.609375
2000-08-01,35.5625
2000-08-02,36.3125
2000-08-03,35.75
2000-08-04,36.5625
2000-08-07,36.390625
2000-08-08,36.875
2000-08-09,38.75
2000-08-10,37.203125
2000-08-11,36.5625
2000-08-14,38.1875
2000-08-15,37.6875
2000-08-16,38.375
2000-08-17,39.3125
2000-08-18,38.3125
2000-08-21,38.375
2000-08-22,38.0
2000-08-23,38.65625
2000-08-24,37.6875
2000-08-25,36.8125
2000-08-28,38.0
2000-08-29,37.6875
2000-08-30,36.734375
2000-08-31,36.546875
2000-09-01,36.9375
2000-09-05,37.1875
2000-09-06,38.5625
2000-09-07,37.625
2000-09-08,36.875
2000-09-11,38.75
2000-09-12,38.625
2000-09-13,37.3125
2000-09-14,37.5
2000-09-15,39.0
2000-09-18,37.640625
2000-09-19,36.125
2000-09-20,35.5
2000-09-21,36.1875
2000-09-22,35.859375
2000-09-25,34.625
2000-09-26,36.0
2000-09-27,36.875
2000-09-28,37.140625
2000-09-29,37.125
2000-10-02,37.8125
2000-10-03,37.3125
2000-10-04,35.4375
2000-10-05,35.0
2000-10-06,34.4375
2000-10-09,34.9375
2000-10-10,36.125
2000-10-11,36.4375
2000-10-12,38.0
2000-10-13,36.625
2000-10-16,36.4375
2000-10-17,37.75
2000-10-18,38.125
2000-10-19,38.0
2000-10-20,38.125
2000-10-23,37.0
2000-10-24,35.875
2000-10-25,33.4375
2000-10-26,34.0
2000-10-27,32.4375
2000-10-30,33.6875
2000-10-31,34.375
2000-11-01,37.125
2000-11-02,36.875
2000-11-03,36.9375
2000-11-06,36.9375
2000-11-07,37.5625
2000-11-08,38.1875
2000-11-09,37.125
2000-11-10,36.6875
2000-11-13,36.25
2000-11-14,37.0625
2000-11-15,38.9375
2000-11-16,39.5
2000-11-17,38.4375
2000-11-20,37.75
2000-11-21,38.625
2000-11-22,37.75
2000-11-24,38.0625
2000-11-27,36.5625
2000-11-28,35.875
2000-11-29,34.5
2000-11-30,33.0625
2000-12-01,33.375
2000-12-04,33.375
2000-12-05,32.75
2000-12-06,33.375
2000-12-07,33.1875
2000-12-08,33.4375
2000-12-11,35.3125
2000-12-12,36.0625
2000-12-13,36.25
2000-12-14,36.0
2000-12-15,36.9375
2000-12-18,39.3125
2000-12-19,41.3125
2000-12-20,40.75
2000-12-21,40.125
2000-12-22,39.9375
2000-12-26,42.5
2000-12-27,42.4375
2000-12-28,42.9375
2000-12-29,41.5625
2001-01-02,42.375
2001-01-03,41.0625
2001-01-04,39.9375
2001-01-05,39.625
2001-01-08,40.0
2001-01-09,41.125
2001-01-10,41.375
2001-01-11,42.25
2001-01-12,42.375
2001-01-16,43.25
2001-01-17,41.0625
2001-01-18,39.0
2001-01-19,39.8125
2001-01-22,40.4375
2001-01-23,41.0625
2001-01-24,42.0625
2001-01-25,43.25
2001-01-26,42.5625
2001-01-29,40.970001220703125
2001-01-30,41.400001525878906
2001-01-31,41.349998474121094
2001-02-01,40.599998474121094
2001-02-02,41.79999923706055
2001-02-05,43.0
2001-02-06,44.189998626708984
2001-02-07,43.5099983215332
2001-02-08,43.310001373291016
2001-02-09,44.0099983215332
2001-02-12,43.38999938964844
2001-02-13,43.369998931884766
2001-02-14,42.5
2001-02-15,40.16999816894531
2001-02-16,40.86000061035156
2001-02-20,40.880001068115234
2001-02-21,40.16999816894531
2001-02-22,38.95000076293945
2001-02-23,38.880001068115234
2001-02-26,39.20000076293945
2001-02-27,39.619998931884766
2001-02-28,39.20000076293945
2001-03-01,40.02000045776367
2001-03-02,41.20000076293945
2001-03-05,42.599998474121094
2001-03-06,43.099998474121094
2001-03-07,44.709999084472656
2001-03-08,44.9900016784668
2001-03-09,44.06999969482422
2001-03-12,42.79999923706055
2001-03-13,41.650001525878906
2001-03-14,41.2400016784668
2001-03-15,39.95000076293945
2001-03-16,39.95000076293945
2001-03-19,40.72999954223633
2001-03-20,41.29999923706055
2001-03-21,40.099998474121094
2001-03-22,39.099998474121094
2001-03-23,39.5
2001-03-26,40.439998626708984
2001-03-27,39.97999954223633
2001-03-28,38.79999923706055
2001-03-29,36.349998474121094
2001-03-30,36.310001373291016
2001-04-02,34.310001373291016
2001-04-03,32.849998474121094
2001-04-04,33.79999923706055
2001-04-05,35.02000045776367
2001-04-06,34.5
2001-04-09,35.56999969482422
2001-04-10,36.0
2001-04-11,35.58000183105469
2001-04-12,35.150001525878906
2001-04-16,35.599998474121094
2001-04-17,36.29999923706055
2001-04-18,34.650001525878906
2001-04-19,33.470001220703125
2001-04-20,34.70000076293945
2001-04-23,36.0
2001-04-24,36.2599983215332
2001-04-25,36.22999954223633
2001-04-26,38.5
2001-04-27,38.900001525878906
2001-04-30,39.290000915527344
2001-05-01,38.08000183105469
2001-05-02,35.689998626708984
2001-05-03,35.20000076293945
2001-05-04,36.0
2001-05-07,35.5
2001-05-08,35.880001068115234
2001-05-09,37.0
2001-05-10,37.0099983215332
2001-05-11,36.47999954223633
2001-05-14,37.619998931884766
2001-05-15,39.099998474121094
2001-05-16,39.5
2001-05-17,40.52000045776367
2001-05-18,40.709999084472656
2001-05-21,41.5
2001-05-22,40.84000015258789
2001-05-23,39.5
2001-05-24,38.5
2001-05-25,39.5
2001-05-29,39.220001220703125
2001-05-30,38.630001068115234
2001-05-31,39.400001525878906
2001-06-01,39.20000076293945
2001-06-04,39.599998474121094
2001-06-05,39.34000015258789
2001-06-06,38.18000030517578
2001-06-07,37.33000183105469
2001-06-08,37.119998931884766
2001-06-11,37.0
2001-06-12,37.75
2001-06-13,38.47999954223633
2001-06-14,37.83000183105469
2001-06-15,38.5099983215332
2001-06-18,38.0
2001-06-19,38.13999938964844
2001-06-20,37.40999984741211
2001-06-21,36.099998474121094
2001-06-22,36.02000045776367
2001-06-25,35.58000183105469
2001-06-26,37.040000915527344
2001-06-27,34.849998474121094
2001-06-28,33.88999938964844
2001-06-29,33.5
2001-07-02,32.939998626708984
2001-07-03,32.95000076293945
2001-07-05,33.130001068115234
2001-07-06,32.77000045776367
2001-07-09,32.11000061035156
2001-07-10,32.290000915527344
2001-07-11,31.899999618530273
2001-07-12,31.0
2001-07-13,31.600000381469727
