Date,Settle
1999-12-31,417.65625
2000-01-03,397.5
2000-01-04,373.125
2000-01-05,388.125
2000-01-06,406.875
2000-01-07,405.0
2000-01-10,403.59375
2000-01-11,398.4375
2000-01-12,412.5
2000-01-13,417.1875
2000-01-14,435.0
2000-01-18,438.75
2000-01-19,448.125
2000-01-20,439.5703125
2000-01-21,423.28125
2000-01-24,413.90625
2000-01-25,419.0625
2000-01-26,435.9375
2000-01-27,442.5
2000-01-28,420.9375
2000-01-31,427.5
2000-02-01,436.875
2000-02-02,433.125
2000-02-03,422.34375
2000-02-04,410.625
2000-02-07,407.8125
2000-02-08,420.0
2000-02-09,406.40625
2000-02-10,402.65625
2000-02-11,405.0
2000-02-14,405.0
2000-02-15,411.5625
2000-02-16,402.1875
2000-02-17,393.75
2000-02-18,385.78125
2000-02-22,382.5
2000-02-23,382.03125
2000-02-24,369.375
2000-02-25,360.0
2000-02-28,367.5
2000-02-29,388.125
2000-03-01,387.1875
2000-03-02,386.25
2000-03-03,400.78125
2000-03-06,391.40625
2000-03-07,377.8125
2000-03-08,378.75
2000-03-09,377.8125
2000-03-10,367.5
2000-03-13,374.53125
2000-03-14,373.125
2000-03-15,391.875
2000-03-16,420.9375
2000-03-17,427.5
2000-03-20,421.40625
2000-03-21,435.46875
2000-03-22,440.625
2000-03-23,462.65625
2000-03-24,454.21875
2000-03-27,450.46875
2000-03-28,457.5
2000-03-29,455.625
2000-03-30,457.5
2000-03-31,449.0625
2000-04-03,465.0
2000-04-04,442.5
2000-04-05,440.15625
2000-04-06,444.84375
2000-04-07,442.5
2000-04-10,466.875
2000-04-11,475.78125
2000-04-12,472.5
2000-04-13,469.21875
2000-04-14,435.0
2000-04-17,444.375
2000-04-18,465.9375
2000-04-19,447.1875
2000-04-20,459.375
2000-04-24,463.59375
2000-04-25,483.75
2000-04-26,468.75
2000-04-27,461.25
2000-04-28,442.5
2000-05-01,452.34375
2000-05-02,458.4375
2000-05-03,450.9375
2000-05-04,439.6875
2000-05-05,446.71875
2000-05-08,448.125
2000-05-09,446.25
2000-05-10,423.28125
2000-05-11,441.5625
2000-05-12,451.40625
2000-05-15,471.5625
2000-05-16,462.65625
2000-05-17,457.96875
2000-05-18,461.71875
2000-05-19,457.03125
2000-05-22,459.84375
2000-05-23,467.34375
2000-05-24,460.3125
2000-05-25,439.21875
2000-05-26,436.875
2000-05-30,452.34375
2000-05-31,466.40625
2000-06-01,474.84375
2000-06-02,499.6875
2000-06-05,498.28125
2000-06-06,486.09375
2000-06-07,497.8125
2000-06-08,483.75
2000-06-09,480.0
2000-06-12,480.0
2000-06-13,489.84375
2000-06-14,503.4375
2000-06-15,486.5625
2000-06-16,470.15625
2000-06-19,482.34375
2000-06-20,482.8125
2000-06-21,468.75
2000-06-22,466.875
2000-06-23,464.0625
2000-06-26,480.0
2000-06-27,479.53125
2000-06-28,481.40625
2000-06-29,469.6875
2000-06-30,451.875
2000-07-03,468.28125
2000-07-05,474.375
2000-07-06,479.0625
2000-07-07,488.90625
2000-07-10,489.375
2000-07-11,501.5625
2000-07-12,501.5625
2000-07-13,499.6875
2000-07-14,510.0
2000-07-17,497.8125
2000-07-18,500.15625
2000-07-19,510.0
2000-07-20,529.21875
2000-07-21,531.5625
2000-07-24,530.625
2000-07-25,528.28125
2000-07-26,522.1875
2000-07-27,524.53125
2000-07-28,515.15625
2000-07-31,528.75
2000-08-01,528.75
2000-08-02,532.5
2000-08-03,534.84375
2000-08-04,551.25
2000-08-07,552.65625
2000-08-08,546.09375
2000-08-09,544.6875
2000-08-10,533.90625
2000-08-11,543.28125
2000-08-14,555.0
2000-08-15,554.53125
2000-08-16,548.90625
2000-08-17,560.625
2000-08-18,560.859375
2000-08-21,576.5625
2000-08-22,579.84375
2000-08-23,565.3125
2000-08-24,575.625
2000-08-25,569.53125
2000-08-28,588.75
2000-08-29,580.0
2000-08-30,580.0
2000-08-31,583.90625
2000-09-01,575.0
2000-09-05,575.625
2000-09-06,549.21875
2000-09-07,547.5
2000-09-08,565.0
2000-09-11,567.5
2000-09-12,565.0
2000-09-13,557.5
2000-09-14,562.1875
2000-09-15,550.625
2000-09-18,535.0
2000-09-19,542.5
2000-09-20,531.875
2000-09-21,515.0
2000-09-22,527.5
2000-09-25,541.25
2000-09-26,535.0
2000-09-27,511.25
2000-09-28,534.375
2000-09-29,540.625
2000-10-02,553.75
2000-10-03,568.75
2000-10-04,547.5
2000-10-05,561.25
2000-10-06,535.0
2000-10-09,526.25
2000-10-10,510.0
2000-10-11,495.0
2000-10-12,467.5
2000-10-13,498.125
2000-10-16,508.125
2000-10-17,493.75
2000-10-18,495.625
2000-10-19,513.125
2000-10-20,509.375
2000-10-23,504.375
2000-10-24,516.875
2000-10-25,506.25
2000-10-26,490.0
2000-10-27,502.5
2000-10-30,515.625
2000-10-31,526.25
2000-11-01,516.875
2000-11-02,530.625
2000-11-03,539.375
2000-11-06,548.75
2000-11-07,547.5
2000-11-08,530.625
2000-11-09,526.875
2000-11-10,515.0
2000-11-13,505.0
2000-11-14,507.5
2000-11-15,501.875
2000-11-16,516.875
2000-11-17,511.09375
2000-11-20,493.75
2000-11-21,491.25
2000-11-22,470.625
2000-11-24,473.125
2000-11-27,474.375
2000-11-28,476.25
2000-11-29,494.375
2000-11-30,498.125
2000-12-01,489.375
2000-12-04,478.125
2000-12-05,507.5
2000-12-06,497.5
2000-12-07,497.5
2000-12-08,515.0
2000-12-11,528.75
2000-12-12,526.25
2000-12-13,530.0
2000-12-14,507.5
2000-12-15,480.625
2000-12-18,493.75
2000-12-19,502.5
2000-12-20,480.0
2000-12-21,487.5
2000-12-22,500.625
2000-12-26,509.375
2000-12-27,508.75
2000-12-28,512.5
2000-12-29,510.625
2001-01-02,505.0
2001-01-03,549.375
2001-01-04,556.875
2001-01-05,536.875
2001-01-08,533.75
2001-01-09,521.875
2001-01-10,539.375
2001-01-11,550.0
2001-01-12,531.25
2001-01-16,546.875
2001-01-17,538.125
2001-01-18,542.5
2001-01-19,543.75
2001-01-22,538.75
2001-01-23,548.75
2001-01-24,558.125
2001-01-25,553.125
2001-01-26,551.875
2001-01-29,562.0
2001-01-30,562.0
2001-01-31,559.7000122070312
2001-02-01,561.0999755859375
2001-02-02,554.5999755859375
2001-02-05,563.0
2001-02-06,551.2999877929688
2001-02-07,543.5999755859375
2001-02-08,541.0
2001-02-09,540.5
2001-02-12,554.5
2001-02-13,545.9000244140625
2001-02-14,536.5
2001-02-15,540.7000122070312
2001-02-16,540.0
2001-02-20,512.0
2001-02-21,483.0
2001-02-22,486.0
2001-02-23,482.0
2001-02-26,503.0
2001-02-27,498.0
2001-02-28,491.79998779296875
2001-03-01,486.5
2001-03-02,480.0
2001-03-05,482.5
2001-03-06,486.29998779296875
2001-03-07,504.5
2001-03-08,507.5
2001-03-09,491.29998779296875
2001-03-12,471.0
2001-03-13,483.8999938964844
2001-03-14,449.0
2001-03-15,464.0
2001-03-16,455.0
2001-03-19,463.0
2001-03-20,443.0
2001-03-21,422.5
2001-03-22,406.0
2001-03-23,428.5
2001-03-26,442.0
2001-03-27,464.5
2001-03-28,451.0
2001-03-29,447.0
2001-03-30,449.79998779296875
2001-04-02,460.70001220703125
2001-04-03,437.0
2001-04-04,427.0
2001-04-05,450.0
2001-04-06,427.5
2001-04-09,428.29998779296875
2001-04-10,454.0
2001-04-11,463.3999938964844
2001-04-12,473.0
2001-04-16,469.5
2001-04-17,479.20001220703125
2001-04-18,500.5
2001-04-19,503.0
2001-04-20,494.20001220703125
2001-04-23,484.8999938964844
2001-04-24,487.0
2001-04-25,493.0
2001-04-26,495.1000061035156
2001-04-27,509.1000061035156
2001-04-30,491.5
2001-05-01,504.0
2001-05-02,506.0
2001-05-03,510.0
2001-05-04,507.79998779296875
2001-05-07,506.5
2001-05-08,498.0
2001-05-09,494.5
2001-05-10,496.0
2001-05-11,492.6000061035156
2001-05-14,501.0
2001-05-15,505.5
2001-05-16,517.9000244140625
2001-05-17,506.8999938964844
2001-05-18,508.6000061035156
2001-05-21,515.5999755859375
2001-05-22,525.5
2001-05-23,520.0999755859375
2001-05-24,525.7000122070312
2001-05-25,518.5999755859375
2001-05-29,516.0
2001-05-30,507.79998779296875
2001-05-31,512.5
2001-06-01,518.0
2001-06-04,522.7999877929688
2001-06-05,525.7000122070312
2001-06-06,518.5999755859375
2001-06-07,514.2999877929688
2001-06-08,509.5
2001-06-11,504.0
2001-06-12,503.79998779296875
2001-06-13,498.8999938964844
2001-06-14,486.1000061035156
2001-06-15,493.0
2001-06-18,497.8999938964844
2001-06-19,507.5
2001-06-20,506.5
2001-06-21,535.5
