Date,Settle
1999-12-31,32.5
2000-01-03,31.125
2000-01-04,30.3125
2000-01-05,29.28125
2000-01-06,29.21875
2000-01-07,30.96875
2000-01-10,31.8125
2000-01-11,31.96875
2000-01-12,32.1875
2000-01-13,32.40625
2000-01-14,31.65625
2000-01-18,31.5
2000-01-19,30.75
2000-01-20,30.96875
2000-01-21,30.65625
2000-01-24,30.34375
2000-01-25,29.8125
2000-01-26,30.09375
2000-01-27,30.15625
2000-01-28,29.75
2000-01-31,29.625
2000-02-01,29.8125
2000-02-02,30.65625
2000-02-03,30.0
2000-02-04,28.125
2000-02-07,28.1875
2000-02-08,29.34375
2000-02-09,29.09375
2000-02-10,28.75
2000-02-11,27.9375
2000-02-14,27.0
2000-02-15,27.84375
2000-02-16,27.6875
2000-02-17,26.96875
2000-02-18,26.53125
2000-02-22,26.1875
2000-02-23,25.6875
2000-02-24,24.53125
2000-02-25,24.125
2000-02-28,25.5
2000-02-29,26.09375
2000-03-01,26.5
2000-03-02,26.3125
2000-03-03,27.4375
2000-03-06,26.40625
2000-03-07,23.375
2000-03-08,21.96875
2000-03-09,22.0
2000-03-10,21.375
2000-03-13,21.6875
2000-03-14,21.59375
2000-03-15,25.90625
2000-03-16,25.625
2000-03-17,24.96875
2000-03-20,25.125
2000-03-21,25.15625
2000-03-22,25.28125
2000-03-23,26.5625
2000-03-24,27.1875
2000-03-27,27.09375
2000-03-28,28.4375
2000-03-29,28.21875
2000-03-30,28.09375
2000-03-31,28.1875
2000-04-03,30.25
2000-04-04,30.34375
2000-04-05,29.21875
2000-04-06,29.5
2000-04-07,29.65625
2000-04-10,30.125
2000-04-11,31.3125
2000-04-12,31.0
2000-04-13,29.5
2000-04-14,27.875
2000-04-17,28.8125
2000-04-18,27.625
2000-04-19,27.84375
2000-04-20,28.5625
2000-04-24,29.3125
2000-04-25,29.59375
2000-04-26,28.84375
2000-04-27,29.34375
2000-04-28,28.5625
2000-05-01,27.5625
2000-05-02,28.0625
2000-05-03,27.75
2000-05-04,27.96875
2000-05-05,28.5625
2000-05-08,28.8125
2000-05-09,29.5
2000-05-10,29.09375
2000-05-11,30.09375
2000-05-12,29.421875
2000-05-15,29.625
2000-05-16,29.03125
2000-05-17,29.28125
2000-05-18,29.53125
2000-05-19,28.46875
2000-05-22,28.28125
2000-05-23,27.96875
2000-05-24,28.3125
2000-05-25,28.0
2000-05-26,27.875
2000-05-30,27.0625
2000-05-31,26.3125
2000-06-01,26.65625
2000-06-02,27.25
2000-06-05,26.53125
2000-06-06,27.28125
2000-06-07,28.5
2000-06-08,28.25
2000-06-09,28.4375
2000-06-12,28.71875
2000-06-13,27.78125
2000-06-14,28.5625
2000-06-15,29.25
2000-06-16,28.9375
2000-06-19,28.8125
2000-06-20,28.6875
2000-06-21,28.5
2000-06-22,28.0
2000-06-23,27.78125
2000-06-26,28.25
2000-06-27,28.46875
2000-06-28,28.3046875
2000-06-29,28.375
2000-06-30,29.9375
2000-07-03,29.9375
2000-07-05,29.65625
2000-07-06,29.40625
2000-07-07,28.59375
2000-07-10,27.84375
2000-07-11,27.3125
2000-07-12,26.5
2000-07-13,26.53125
2000-07-14,27.125
2000-07-17,27.46875
2000-07-18,27.46875
2000-07-19,27.25
2000-07-20,27.6875
2000-07-21,28.3125
2000-07-24,28.0
2000-07-25,28.15625
2000-07-26,27.78125
2000-07-27,28.1875
2000-07-28,28.0
2000-07-31,27.84375
2000-08-01,28.4375
2000-08-02,28.28125
2000-08-03,28.1875
2000-08-04,27.5
