Date,Settle
1999-12-31,43.3125
2000-01-03,41.8125
2000-01-04,41.8125
2000-01-05,42.5625
2000-01-06,44.375
2000-01-07,45.15625
2000-01-10,43.9375
2000-01-11,43.53125
2000-01-12,43.375
2000-01-13,43.78125
2000-01-14,43.5
2000-01-18,44.65625
2000-01-19,43.96875
2000-01-20,43.75
2000-01-21,44.28125
2000-01-24,44.40625
2000-01-25,44.28125
2000-01-26,43.875
2000-01-27,42.15625
2000-01-28,41.28125
2000-01-31,41.8125
2000-02-01,41.59375
2000-02-02,41.3125
2000-02-03,40.71875
2000-02-04,39.28125
2000-02-07,39.53125
2000-02-08,39.15625
2000-02-09,37.5
2000-02-10,38.40625
2000-02-11,37.0
2000-02-14,36.90625
2000-02-15,38.75
2000-02-16,38.90625
2000-02-17,38.875
2000-02-18,38.09375
2000-02-22,37.84375
2000-02-23,36.625
2000-02-24,35.71875
2000-02-25,35.53125
2000-02-28,37.28125
2000-02-29,37.34375
2000-03-01,37.625
2000-03-02,37.84375
2000-03-03,37.28125
2000-03-06,37.0
2000-03-07,40.5
2000-03-08,40.53125
2000-03-09,41.625
2000-03-10,40.1875
2000-03-13,39.90625
2000-03-14,41.4375
2000-03-15,41.96875
2000-03-16,42.0625
2000-03-17,41.65625
2000-03-20,41.46875
2000-03-21,43.0
2000-03-22,42.0
2000-03-23,42.3125
2000-03-24,42.8125
2000-03-27,42.28125
2000-03-28,42.4375
2000-03-29,44.25
2000-03-30,46.09375
2000-03-31,46.21875
2000-04-03,46.15625
2000-04-04,44.90625
2000-04-05,43.75
2000-04-06,44.46875
2000-04-07,43.21875
2000-04-10,43.03125
2000-04-11,44.34375
2000-04-12,44.5
2000-04-13,43.46875
2000-04-14,42.84375
2000-04-17,41.46875
2000-04-18,42.28125
2000-04-19,42.375
2000-04-20,43.15625
2000-04-24,42.625
2000-04-25,42.40625
2000-04-26,43.15625
2000-04-27,44.21875
2000-04-28,42.5625
2000-05-01,43.15625
2000-05-02,44.65625
2000-05-03,43.65625
2000-05-04,44.1875
2000-05-05,45.375
2000-05-08,45.90625
2000-05-09,45.0625
2000-05-10,45.4375
2000-05-11,46.6875
2000-05-12,47.140625
2000-05-15,47.0
2000-05-16,46.46875
2000-05-17,45.65625
2000-05-18,45.4375
2000-05-19,46.65625
2000-05-22,47.03125
2000-05-23,46.625
2000-05-24,47.125
2000-05-25,46.59375
2000-05-26,45.6875
2000-05-30,45.65625
2000-05-31,46.21875
2000-06-01,45.5
2000-06-02,45.28125
2000-06-05,45.21875
2000-06-06,46.4375
2000-06-07,46.1875
2000-06-08,46.28125
2000-06-09,46.0
2000-06-12,46.4375
2000-06-13,45.875
2000-06-14,46.625
2000-06-15,46.5625
2000-06-16,46.375
2000-06-19,45.6875
2000-06-20,45.125
2000-06-21,45.6328125
2000-06-22,44.78125
2000-06-23,44.875
2000-06-26,44.3671875
2000-06-27,44.21875
2000-06-28,43.7890625
2000-06-29,43.3203125
2000-06-30,42.40625
2000-07-03,42.9609375
2000-07-05,41.25
2000-07-06,41.78125
2000-07-07,41.9765625
2000-07-10,42.0
2000-07-11,43.5
2000-07-12,42.8359375
2000-07-13,41.9765625
2000-07-14,41.875
2000-07-17,41.3359375
2000-07-18,40.71875
2000-07-19,40.96875
2000-07-20,40.0
2000-07-21,39.25
2000-07-24,38.6875
2000-07-25,38.65625
2000-07-26,38.65625
2000-07-27,40.46875
2000-07-28,40.2890625
2000-07-31,39.4921875
2000-08-01,39.4375
2000-08-02,39.90625
2000-08-03,40.0
2000-08-04,39.6640625
2000-08-07,40.3515625
2000-08-08,40.1796875
2000-08-09,41.296875
2000-08-10,41.9375
2000-08-11,42.0
2000-08-14,42.1875
2000-08-15,41.75
2000-08-16,42.7265625
2000-08-17,43.59375
2000-08-18,43.015625
2000-08-21,43.375
2000-08-22,43.3125
2000-08-23,44.4375
2000-08-24,43.09375
2000-08-25,43.4375
2000-08-28,43.46875
2000-08-29,43.0
2000-08-30,42.5546875
2000-08-31,42.2578125
2000-09-01,42.734375
2000-09-05,42.96875
2000-09-06,44.0625
2000-09-07,44.15625
2000-09-08,43.34375
2000-09-11,44.65625
2000-09-12,44.28125
2000-09-13,44.3125
2000-09-14,43.7890625
2000-09-15,45.09375
2000-09-18,45.0
2000-09-19,44.03125
2000-09-20,43.5
2000-09-21,42.65625
2000-09-22,42.125
2000-09-25,41.3984375
2000-09-26,41.65625
2000-09-27,42.71875
2000-09-28,42.0703125
2000-09-29,42.625
2000-10-02,43.34375
2000-10-03,43.4375
2000-10-04,42.40625
2000-10-05,42.75
2000-10-06,42.1875
2000-10-09,43.0
2000-10-10,43.59375
2000-10-11,43.3125
2000-10-12,43.65625
2000-10-13,42.125
2000-10-16,41.0
2000-10-17,41.4375
2000-10-18,41.25
2000-10-19,41.15625
2000-10-20,41.71875
2000-10-23,41.28125
2000-10-24,41.125
2000-10-25,40.75
2000-10-26,41.0
2000-10-27,40.15625
2000-10-30,40.8125
2000-10-31,41.0625
2000-11-01,41.40625
2000-11-02,40.25
2000-11-03,40.53125
2000-11-06,41.28125
2000-11-07,41.03125
2000-11-08,41.5
2000-11-09,41.6875
2000-11-10,42.0625
2000-11-13,41.5625
2000-11-14,42.125
2000-11-15,41.96875
2000-11-16,41.9375
2000-11-17,41.875
2000-11-20,41.84375
2000-11-21,42.5
2000-11-22,42.40625
2000-11-24,42.15625
2000-11-27,42.4375
2000-11-28,42.90625
2000-11-29,41.0625
2000-11-30,40.9375
2000-12-01,41.3125
2000-12-04,41.5
2000-12-05,40.90625
2000-12-06,40.25
2000-12-07,40.34375
2000-12-08,40.65625
2000-12-11,40.75
2000-12-12,40.90625
2000-12-13,41.125
2000-12-14,39.53125
2000-12-15,39.125
2000-12-18,40.375
2000-12-19,40.53125
2000-12-20,39.21875
2000-12-21,39.1875
2000-12-22,40.3125
2000-12-26,41.40625
2000-12-27,41.53125
2000-12-28,42.875
2000-12-29,42.21875
2001-01-02,42.96875
2001-01-03,41.3125
2001-01-04,40.4375
2001-01-05,40.75
2001-01-08,40.65625
2001-01-09,40.125
2001-01-10,40.0625
2001-01-11,40.71875
2001-01-12,40.46875
2001-01-16,40.5
2001-01-17,40.125
2001-01-18,39.71875
2001-01-19,39.65625
2001-01-22,39.8125
2001-01-23,39.78125
2001-01-24,39.9375
2001-01-25,41.59375
2001-01-26,41.3125
2001-01-29,40.75
2001-01-30,40.93000030517578
2001-01-31,41.63999938964844
2001-02-01,41.6349983215332
2001-02-02,41.209999084472656
2001-02-05,41.28499984741211
2001-02-06,42.345001220703125
2001-02-07,41.67499923706055
2001-02-08,42.130001068115234
2001-02-09,42.94499969482422
2001-02-12,43.26499938964844
2001-02-13,43.0
2001-02-14,42.92499923706055
2001-02-15,42.70000076293945
2001-02-16,43.275001525878906
2001-02-20,43.25
2001-02-21,42.96500015258789
2001-02-22,43.040000915527344
2001-02-23,42.22999954223633
2001-02-26,42.279998779296875
2001-02-27,42.849998474121094
2001-02-28,42.83000183105469
2001-03-01,43.41999816894531
2001-03-02,44.224998474121094
2001-03-05,45.189998626708984
2001-03-06,45.224998474121094
2001-03-07,45.689998626708984
2001-03-08,46.474998474121094
2001-03-09,46.38999938964844
2001-03-12,46.05500030517578
2001-03-13,45.310001373291016
2001-03-14,44.76499938964844
2001-03-15,44.349998474121094
2001-03-16,43.75
2001-03-19,44.529998779296875
2001-03-20,45.314998626708984
2001-03-21,44.84000015258789
2001-03-22,43.75
2001-03-23,43.349998474121094
2001-03-26,43.220001220703125
2001-03-27,43.915000915527344
2001-03-28,43.29999923706055
2001-03-29,43.209999084472656
2001-03-30,43.900001525878906
2001-04-02,43.435001373291016
2001-04-03,43.0
2001-04-04,43.849998474121094
2001-04-05,44.84000015258789
2001-04-06,44.61000061035156
2001-04-09,45.75
2001-04-10,46.400001525878906
2001-04-11,45.400001525878906
2001-04-12,45.900001525878906
2001-04-16,46.900001525878906
2001-04-17,46.625
2001-04-18,46.72999954223633
2001-04-19,46.375
