Date,Settle
1999-12-31,6.78125
2000-01-03,6.71875
2000-01-04,6.5
2000-01-05,6.484375
2000-01-06,6.5
2000-01-07,6.515625
2000-01-10,6.5
2000-01-11,6.453125
2000-01-12,6.375
2000-01-13,6.5
2000-01-14,6.21875
2000-01-18,6.25
2000-01-19,5.828125
2000-01-20,5.46875
2000-01-21,5.484375
2000-01-24,5.523437976837158
2000-01-25,5.5625
2000-01-26,5.578125
2000-01-27,5.71875
2000-01-28,5.703125
2000-01-31,5.703125
2000-02-01,5.78125
2000-02-02,5.78125
2000-02-03,5.875
2000-02-04,5.78125
2000-02-07,5.507812976837158
2000-02-08,5.453125
2000-02-09,5.21875
2000-02-10,5.078125
2000-02-11,5.046875
2000-02-14,5.125
2000-02-15,5.03125
2000-02-16,5.03125
2000-02-17,5.109375
2000-02-18,5.015625
2000-02-22,4.90625
2000-02-23,4.835937976837158
2000-02-24,4.78125
2000-02-25,4.734375
2000-02-28,4.953125
2000-02-29,4.75
2000-03-01,4.84375
2000-03-02,4.671875
2000-03-03,4.96875
2000-03-06,5.0
2000-03-07,4.984375
2000-03-08,4.921875
2000-03-09,4.78125
2000-03-10,4.6875
2000-03-13,4.453125
2000-03-14,4.4375
2000-03-15,4.90625
2000-03-16,4.9375
2000-03-17,5.15625
2000-03-20,4.84375
2000-03-21,5.0
2000-03-22,5.125
2000-03-23,4.875
2000-03-24,4.890625
2000-03-27,4.828125
2000-03-28,4.546875
2000-03-29,4.578125
2000-03-30,4.515625
2000-03-31,4.515625
2000-04-03,4.71875
2000-04-04,4.765625
2000-04-05,4.828125
2000-04-06,4.78125
2000-04-07,4.734375
2000-04-10,4.640625
2000-04-11,4.890625
2000-04-12,5.171875
2000-04-13,5.109375
2000-04-14,4.90625
2000-04-17,4.875
2000-04-18,4.921875
2000-04-19,5.109375
2000-04-20,5.078125
2000-04-24,5.078125
2000-04-25,5.125
2000-04-26,5.125
2000-04-27,5.0625
2000-04-28,5.078125
2000-05-01,5.078125
2000-05-02,5.0
2000-05-03,4.96875
2000-05-04,4.859375
2000-05-05,4.890625
2000-05-08,4.859375
2000-05-09,4.734375
2000-05-10,4.75
2000-05-11,4.875
2000-05-12,4.734375
2000-05-15,4.78125
2000-05-16,4.75
2000-05-17,4.65625
2000-05-18,4.59375
2000-05-19,4.5625
2000-05-22,4.625
2000-05-23,4.515625
2000-05-24,4.71875
2000-05-25,4.515625
2000-05-26,4.53125
2000-05-30,4.96875
2000-05-31,4.9375
2000-06-01,4.859375
2000-06-02,4.921875
2000-06-05,4.921875
2000-06-06,4.71875
2000-06-07,4.671875
2000-06-08,4.6875
2000-06-09,4.625
2000-06-12,4.609375
2000-06-13,4.546875
2000-06-14,4.53125
2000-06-15,4.640625
2000-06-16,4.75
2000-06-19,4.78125
2000-06-20,4.6875
2000-06-21,4.671875
2000-06-22,4.484375
2000-06-23,4.539062976837158
2000-06-26,4.625
2000-06-27,4.53125
2000-06-28,4.625
2000-06-29,4.65625
2000-06-30,4.609375
2000-07-03,4.6875
2000-07-05,4.671875
2000-07-06,4.75
2000-07-07,4.734375
2000-07-10,4.765625
2000-07-11,4.90625
2000-07-12,5.09375
2000-07-13,5.109375
2000-07-14,4.921875
2000-07-17,5.03125
2000-07-18,5.015625
2000-07-19,5.078125
2000-07-20,5.34375
2000-07-21,5.453125
2000-07-24,5.609375
2000-07-25,5.625
2000-07-26,5.59375
2000-07-27,5.71875
2000-07-28,5.6875
2000-07-31,5.78125
2000-08-01,5.734375
2000-08-02,5.734375
2000-08-03,5.75
2000-08-04,5.78125
2000-08-07,5.8125
2000-08-08,5.84375
2000-08-09,5.859375
2000-08-10,5.84375
2000-08-11,5.890625
2000-08-14,5.90625
2000-08-15,6.0
2000-08-16,6.078125
2000-08-17,6.203125
2000-08-18,6.328125
2000-08-21,6.40625
2000-08-22,6.4375
2000-08-23,6.46875
2000-08-24,6.671875
2000-08-25,6.65625
2000-08-28,6.640625
2000-08-29,6.578125
2000-08-30,6.5625
2000-08-31,6.59375
2000-09-01,6.578125
2000-09-05,6.59375
2000-09-06,6.625
2000-09-07,6.609375
2000-09-08,6.71875
2000-09-11,6.984375
2000-09-12,7.015625
2000-09-13,7.0625
2000-09-14,7.046875
2000-09-15,7.125
2000-09-18,7.0
2000-09-19,6.9375
2000-09-20,6.78125
2000-09-21,6.5625
2000-09-22,6.78125
2000-09-25,6.859375
2000-09-26,6.859375
2000-09-27,6.9375
2000-09-28,7.09375
2000-09-29,7.21875
2000-10-02,7.046875
2000-10-03,7.125
2000-10-04,7.046875
2000-10-05,7.0625
2000-10-06,7.09375
2000-10-09,7.015625
2000-10-10,6.921875
2000-10-11,6.890625
2000-10-12,6.765625
2000-10-13,6.828125
2000-10-16,6.78125
2000-10-17,6.6875
2000-10-18,6.71875
2000-10-19,6.796875
2000-10-20,6.765625
2000-10-23,6.75
2000-10-24,6.59375
2000-10-25,6.59375
2000-10-26,6.578125
2000-10-27,6.75
2000-10-30,6.765625
2000-10-31,7.0
2000-11-01,6.984375
2000-11-02,7.046875
2000-11-03,7.0625
2000-11-06,6.96875
2000-11-07,6.953125
2000-11-08,7.078125
2000-11-09,6.90625
2000-11-10,7.0625
2000-11-13,6.953125
2000-11-14,7.03125
2000-11-15,7.046875
2000-11-16,6.984375
2000-11-17,7.0625
2000-11-20,7.078125
2000-11-21,7.03125
2000-11-22,6.921875
2000-11-24,6.953125
2000-11-27,7.109375
2000-11-28,7.125
2000-11-29,7.359375
2000-11-30,7.734375
2000-12-01,7.734375
2000-12-04,7.84375
2000-12-05,7.78125
2000-12-06,7.5
2000-12-07,7.546875
2000-12-08,7.921875
2000-12-11,8.015625
2000-12-12,7.8125
2000-12-13,7.96875
2000-12-14,7.96875
2000-12-15,7.9375
2000-12-18,8.03125
2000-12-19,8.375
2000-12-20,8.375
2000-12-21,8.5625
2000-12-22,8.6875
2000-12-26,8.921875
2000-12-27,9.34375
2000-12-28,9.375
2000-12-29,9.1875
2001-01-02,9.03125
2001-01-03,8.875
2001-01-04,8.828125
2001-01-05,8.59375
2001-01-08,8.421875
2001-01-09,8.609375
2001-01-10,8.703125
2001-01-11,8.66796875
2001-01-12,8.671875
2001-01-16,8.6875
2001-01-17,8.65625
2001-01-18,8.640625
2001-01-19,8.578125
2001-01-22,8.53125
2001-01-23,8.625
2001-01-24,8.796875
2001-01-25,8.9375
2001-01-26,9.25
2001-01-29,9.421875
2001-01-30,9.515625
2001-01-31,9.515625
2001-02-01,9.59375
2001-02-02,9.640625
2001-02-05,9.984375
2001-02-06,9.75
2001-02-07,10.25
2001-02-08,10.421875
2001-02-09,10.4375
2001-02-12,10.46875
2001-02-13,10.515625
2001-02-14,10.421875
2001-02-15,10.359375
2001-02-16,10.0625
2001-02-20,10.015625
2001-02-21,9.65625
2001-02-22,9.4375
2001-02-23,9.75
2001-02-26,9.859375
2001-02-27,9.890625
2001-02-28,9.796875
2001-03-01,9.796875
2001-03-02,9.859375
2001-03-05,9.765625
2001-03-06,9.859375
2001-03-07,9.765625
2001-03-08,9.78125
2001-03-09,9.8125
2001-03-12,9.8125
2001-03-13,10.203125
2001-03-14,9.73046875
2001-03-15,9.796875
2001-03-16,10.015625
2001-03-19,10.03125
2001-03-20,10.0625
2001-03-21,9.664063453674316
2001-03-22,9.578125
2001-03-23,9.976563453674316
2001-03-26,10.199999809265137
2001-03-27,10.262499809265137
2001-03-28,10.574999809265137
2001-03-29,10.649999618530273
2001-03-30,10.875
2001-04-02,11.024999618530273
2001-04-03,11.051250457763672
2001-04-04,10.991250038146973
2001-04-05,11.231249809265137
2001-04-06,11.114999771118164
2001-04-09,11.354999542236328
2001-04-10,11.512499809265137
2001-04-11,11.3774995803833
2001-04-12,11.3100004196167
2001-04-16,11.010000228881836
2001-04-17,11.043749809265137
2001-04-18,11.399999618530273
2001-04-19,11.587499618530273
2001-04-20,11.523750305175781
2001-04-23,11.62125015258789
2001-04-24,11.666250228881836
2001-04-25,11.988750457763672
2001-04-26,12.228750228881836
2001-04-27,12.318750381469727
2001-04-30,12.65625
2001-05-01,12.56624984741211
2001-05-02,12.6225004196167
2001-05-03,12.569999694824219
2001-05-04,12.461250305175781
2001-05-07,12.682499885559082
2001-05-08,12.708749771118164
2001-05-09,12.675000190734863
2001-05-10,12.75
2001-05-11,12.5962495803833
2001-05-14,12.645000457763672
2001-05-15,12.449999809265137
2001-05-16,12.581250190734863
2001-05-17,12.449999809265137
2001-05-18,12.449999809265137
2001-05-21,12.46875
2001-05-22,12.375
2001-05-23,12.307499885559082
2001-05-24,12.348750114440918
2001-05-25,12.326250076293945
2001-05-29,12.28125
2001-05-30,12.423749923706055
2001-05-31,12.390000343322754
2001-06-01,12.404999732971191
2001-06-04,12.412500381469727
2001-06-05,12.787500381469727
2001-06-06,12.65250015258789
2001-06-07,12.802499771118164
2001-06-08,12.8100004196167
2001-06-11,12.918749809265137
2001-06-12,12.993749618530273
2001-06-13,13.083749771118164
2001-06-14,12.960000038146973
2001-06-15,12.982500076293945
2001-06-18,13.244999885559082
2001-06-19,13.668749809265137
2001-06-20,13.822500228881836
2001-06-21,13.897500038146973
2001-06-22,13.983750343322754
2001-06-25,13.59000015258789
2001-06-26,13.837499618530273
2001-06-27,13.676250457763672
2001-06-28,13.736249923706055
2001-06-29,14.118749618530273
2001-07-02,13.916250228881836
2001-07-03,13.87125015258789
2001-07-05,13.706250190734863
2001-07-06,13.706250190734863
2001-07-09,13.646249771118164
2001-07-10,13.762499809265137
2001-07-11,13.931249618530273
2001-07-12,14.546250343322754
2001-07-13,14.861249923706055
2001-07-16,14.654999732971191
2001-07-17,15.022500038146973
2001-07-18,15.236249923706055
2001-07-19,15.101249694824219
2001-07-20,15.0600004196167
2001-07-23,15.067500114440918
2001-07-24,14.951250076293945
2001-07-25,15.225000381469727
2001-07-26,15.483750343322754
2001-07-27,15.551250457763672
2001-07-30,15.693750381469727
2001-07-31,15.948749542236328
2001-08-01,15.896249771118164
2001-08-02,15.648750305175781
2001-08-03,15.645000457763672
2001-08-06,15.65625
2001-08-07,15.944999694824219
2001-08-08,16.03125
2001-08-09,16.278749465942383
2001-08-10,16.342500686645508
2001-08-13,16.78499984741211
2001-08-14,16.97249984741211
2001-08-15,17.25
2001-08-16,17.643749237060547
2001-08-17,17.43375015258789
2001-08-20,17.298749923706055
2001-08-21,17.565000534057617
2001-08-22,17.4112491607666
2001-08-23,16.6875
2001-08-24,14.583749771118164
2001-08-27,13.845000267028809
2001-08-28,14.508749961853027
2001-08-29,14.167499542236328
2001-08-30,14.201250076293945
2001-08-31,13.923749923706055
2001-09-04,13.664999961853027
2001-09-05,12.600000381469727
2001-09-06,12.487500190734863
2001-09-07,12.487500190734863
2001-09-10,12.367500305175781
2001-09-17,12.487500190734863
2001-09-18,12.948749542236328
2001-09-19,12.292499542236328
2001-09-20,11.71875
2001-09-21,10.755000114440918
2001-09-24,11.328749656677246
2001-09-25,11.508749961853027
2001-09-26,11.767499923706055
2001-09-27,12.431249618530273
2001-09-28,13.055624961853027
2001-10-01,13.528124809265137
2001-10-02,14.248125076293945
2001-10-03,15.001874923706055
2001-10-04,14.090624809265137
2001-10-05,14.259374618530273
2001-10-08,13.921875
2001-10-09,14.315625190734863
2001-10-10,14.625
2001-10-11,14.506875038146973
2001-10-12,14.743124961853027
2001-10-15,15.300000190734863
2001-10-16,15.98062515258789
2001-10-17,14.596875190734863
2001-10-18,13.978124618530273
2001-10-19,13.809374809265137
2001-10-22,13.983750343322754
2001-10-23,14.079375267028809
2001-10-24,14.34375
2001-10-25,14.540624618530273
2001-10-26,14.681249618530273
2001-10-29,14.208749771118164
2001-10-30,14.101875305175781
2001-10-31,14.101875305175781
2001-11-01,13.848750114440918
2001-11-02,13.640625
2001-11-05,14.118749618530273
2001-11-06,14.399999618530273
2001-11-07,14.220000267028809
2001-11-08,14.01187515258789
2001-11-09,14.214374542236328
2001-11-12,14.231249809265137
2001-11-13,14.079375267028809
2001-11-14,14.124375343322754
2001-11-15,14.259374618530273
2001-11-16,14.231249809265137
2001-11-19,14.090624809265137
2001-11-20,13.736249923706055
2001-11-21,13.477499961853027
2001-11-23,13.584375381469727
2001-11-26,13.404375076293945
2001-11-27,12.943124771118164
2001-11-28,13.021875381469727
2001-11-29,13.229999542236328
2001-11-30,12.881250381469727
2001-12-03,12.914999961853027
2001-12-04,13.089374542236328
2001-12-05,13.117500305175781
2001-12-06,12.976875305175781
2001-12-07,13.16812515258789
2001-12-10,13.016249656677246
2001-12-11,12.926250457763672
2001-12-12,12.853124618530273
2001-12-13,12.841875076293945
2001-12-14,12.808124542236328
2001-12-17,12.943124771118164
2001-12-18,12.8306245803833
2001-12-19,12.853124618530273
2001-12-20,12.740625381469727
2001-12-21,12.279375076293945
2001-12-24,12.543749809265137
2001-12-26,12.633749961853027
2001-12-27,12.712499618530273
2001-12-28,12.74625015258789
2001-12-31,12.864375114440918
2002-01-02,12.976875305175781
2002-01-03,13.40999984741211
2002-01-04,13.601249694824219
2002-01-07,13.415624618530273
2002-01-08,13.381875038146973
2002-01-09,13.865625381469727
2002-01-10,14.0625
2002-01-11,13.899374961853027
2002-01-14,13.511249542236328
2002-01-15,13.8149995803833
2002-01-16,13.708125114440918
2002-01-17,13.978124618530273
2002-01-18,13.949999809265137
2002-01-22,14.073749542236328
2002-01-23,15.266249656677246
2002-01-24,15.451874732971191
2002-01-25,15.328125
2002-01-28,15.260624885559082
2002-01-29,15.142499923706055
2002-01-30,15.603750228881836
2002-01-31,15.491250038146973
2002-02-01,15.51937484741211
2002-02-04,15.114375114440918
2002-02-05,15.243749618530273
2002-02-06,15.1537504196167
2002-02-07,15.266249656677246
2002-02-08,15.626250267028809
2002-02-11,15.901874542236328
2002-02-12,15.930000305175781
2002-02-13,16.042499542236328
2002-02-14,16.048124313354492
2002-02-15,15.991874694824219
2002-02-19,15.80062484741211
2002-02-20,16.166250228881836
2002-02-21,15.69937515258789
2002-02-22,15.721875190734863
2002-02-25,15.918749809265137
2002-02-26,15.98062515258789
2002-02-27,16.143749237060547
2002-02-28,16.50374984741211
2002-03-01,16.565624237060547
2002-03-04,16.571250915527344
2002-03-05,16.531875610351562
2002-03-06,16.678125381469727
2002-03-07,16.419374465942383
2002-03-08,15.7837495803833
2002-03-11,15.7162504196167
2002-03-12,15.688124656677246
2002-03-13,15.626250267028809
2002-03-14,15.614999771118164
2002-03-15,15.986249923706055
2002-03-18,16.048124313354492
2002-03-19,15.823124885559082
2002-03-20,15.513750076293945
2002-03-21,15.524999618530273
2002-03-22,15.65999984741211
2002-03-25,15.193124771118164
2002-03-26,15.176250457763672
2002-03-27,15.69937515258789
2002-03-28,15.553125381469727
2002-04-01,15.463125228881836
2002-04-02,15.423749923706055
2002-04-03,15.339374542236328
2002-04-04,15.637499809265137
2002-04-05,15.609375
2002-04-08,15.806249618530273
2002-04-09,15.7162504196167
2002-04-10,16.003124237060547
2002-04-11,15.946874618530273
2002-04-12,16.54312515258789
2002-04-15,16.306875228881836
2002-04-16,16.6668758392334
2002-04-17,16.424999237060547
2002-04-18,16.35187530517578
2002-04-19,16.588125228881836
2002-04-22,16.048124313354492
2002-04-23,16.042499542236328
2002-04-24,16.200000762939453
2002-04-25,16.55437469482422
2002-04-26,16.54312515258789
2002-04-29,16.59375
2002-04-30,16.68375015258789
2002-05-01,16.59375
2002-05-02,16.700624465942383
2002-05-03,16.92562484741211
2002-05-06,16.69499969482422
2002-05-07,16.796249389648438
2002-05-08,16.571250915527344
2002-05-09,16.9424991607666
2002-05-10,16.616249084472656
2002-05-13,16.649999618530273
2002-05-14,16.756874084472656
2002-05-15,16.723125457763672
2002-05-16,16.69499969482422
2002-05-17,16.756874084472656
2002-05-20,16.649999618530273
2002-05-21,16.464374542236328
2002-05-22,16.306875228881836
2002-05-23,16.3125
2002-05-24,15.975000381469727
2002-05-28,15.693750381469727
2002-05-29,15.80062484741211
2002-05-30,15.879375457763672
2002-05-31,15.98062515258789
2002-06-03,15.75
2002-06-04,15.350625038146973
2002-06-05,15.384374618530273
2002-06-06,15.0131254196167
2002-06-07,15.384374618530273
2002-06-10,15.215624809265137
2002-06-11,14.979374885559082
2002-06-12,14.67562484741211
2002-06-13,14.163749694824219
2002-06-14,15.0806245803833
2002-06-17,15.710624694824219
2002-06-18,15.609375
2002-06-19,15.581250190734863
2002-06-20,15.688124656677246
2002-06-21,15.367500305175781
2002-06-24,15.035625457763672
2002-06-25,14.90625
2002-06-26,14.9399995803833
2002-06-27,14.6587495803833
2002-06-28,15.007499694824219
2002-07-01,15.524999618530273
2002-07-02,15.007499694824219
2002-07-03,14.653124809265137
2002-07-05,15.114375114440918
2002-07-08,15.356249809265137
2002-07-09,15.131250381469727
2002-07-10,14.951250076293945
2002-07-11,14.990625381469727
2002-07-12,15.029999732971191
2002-07-15,14.99625015258789
2002-07-16,15.474374771118164
2002-07-17,15.423749923706055
2002-07-18,14.512499809265137
2002-07-19,14.619375228881836
2002-07-22,14.765625
2002-07-23,13.944375038146973
2002-07-24,14.810625076293945
2002-07-25,15.091875076293945
2002-07-26,15.1875
2002-07-29,16.183124542236328
2002-07-30,15.952500343322754
2002-07-31,16.200000762939453
2002-08-01,15.766875267028809
2002-08-02,15.474374771118164
2002-08-05,15.260624885559082
2002-08-06,16.03125
2002-08-07,16.582500457763672
2002-08-08,17.38687515258789
2002-08-09,17.403749465942383
2002-08-12,17.533124923706055
2002-08-13,17.122499465942383
2002-08-14,17.864999771118164
2002-08-15,17.533124923706055
2002-08-16,17.561250686645508
2002-08-19,17.988750457763672
2002-08-20,17.533124923706055
2002-08-21,17.690624237060547
2002-08-22,17.5049991607666
2002-08-23,17.0887508392334
2002-08-26,17.465625762939453
2002-08-27,17.459999084472656
2002-08-28,17.4375
2002-08-29,17.859375
2002-08-30,17.555625915527344
2002-09-03,16.97624969482422
2002-09-04,17.240625381469727
2002-09-05,17.038124084472656
2002-09-06,17.459999084472656
2002-09-09,17.071874618530273
2002-09-10,16.481250762939453
2002-09-11,16.278749465942383
2002-09-12,15.524999618530273
2002-09-13,15.834375381469727
2002-09-16,15.778124809265137
2002-09-17,15.614999771118164
2002-09-18,15.530625343322754
2002-09-19,15.198749542236328
2002-09-20,15.755624771118164
2002-09-23,15.553125381469727
