Date,Settle
1999-12-31,20.5
2000-01-03,19.8125
2000-01-04,20.6875
2000-01-05,22.0625
2000-01-06,22.25
2000-01-07,22.25
2000-01-10,21.8125
2000-01-11,21.5
2000-01-12,22.0
2000-01-13,22.0
2000-01-14,21.8125
2000-01-18,21.875
2000-01-19,22.375
2000-01-20,22.0
2000-01-21,22.4375
2000-01-24,22.375
2000-01-25,21.625
2000-01-26,22.0
2000-01-27,21.5625
2000-01-28,21.125
2000-01-31,21.9375
2000-02-01,22.1875
2000-02-02,22.0625
2000-02-03,22.75
2000-02-04,22.25
2000-02-07,22.25
2000-02-08,22.0625
2000-02-09,22.0625
2000-02-10,21.375
2000-02-11,21.6875
2000-02-14,21.875
2000-02-15,21.8125
2000-02-16,21.8125
2000-02-17,23.125
2000-02-18,22.5
2000-02-22,22.4375
2000-02-23,21.875
2000-02-24,20.8125
2000-02-25,20.0625
2000-02-28,20.75
2000-02-29,20.625
2000-03-01,19.9375
2000-03-02,21.0
2000-03-03,21.75
2000-03-06,21.0625
2000-03-07,20.25
2000-03-08,20.3125
2000-03-09,20.625
2000-03-10,21.25
2000-03-13,20.875
2000-03-14,20.8125
2000-03-15,21.9375
2000-03-16,22.625
2000-03-17,22.25
2000-03-20,21.375
2000-03-21,21.25
2000-03-22,21.125
2000-03-23,21.0625
2000-03-24,21.3125
2000-03-27,21.1875
2000-03-28,20.9375
2000-03-29,21.0625
2000-03-30,21.25
2000-03-31,21.0
2000-04-03,21.3125
2000-04-04,21.9375
2000-04-05,21.625
2000-04-06,21.1875
2000-04-07,21.125
2000-04-10,22.125
2000-04-11,22.5
2000-04-12,23.5
2000-04-13,24.0625
2000-04-14,23.5625
2000-04-17,24.25
2000-04-18,23.75
2000-04-19,23.9375
2000-04-20,24.5625
2000-04-24,26.125
2000-04-25,27.0625
2000-04-26,27.625
2000-04-27,27.125
2000-04-28,25.9375
2000-05-01,26.0625
2000-05-02,25.875
2000-05-03,25.4375
2000-05-04,26.0625
2000-05-05,25.5625
2000-05-08,26.0
2000-05-09,25.8125
2000-05-10,26.1875
2000-05-11,26.5625
2000-05-12,26.125
2000-05-15,26.0625
2000-05-16,25.875
2000-05-17,25.25
2000-05-18,25.5
2000-05-19,25.5
2000-05-22,26.5
2000-05-23,26.0625
2000-05-24,26.375
2000-05-25,25.75
2000-05-26,26.125
2000-05-30,25.75
2000-05-31,25.9375
2000-06-01,26.0625
2000-06-02,25.8125
2000-06-05,24.8125
2000-06-06,25.875
2000-06-07,25.5625
2000-06-08,25.5
2000-06-09,25.9375
2000-06-12,26.3125
2000-06-13,26.1875
2000-06-14,25.3125
2000-06-15,26.3125
2000-06-16,25.9375
2000-06-19,25.6875
2000-06-20,25.5625
2000-06-21,25.6875
2000-06-22,25.9375
2000-06-23,26.0625
2000-06-26,26.25
2000-06-27,25.3125
2000-06-28,26.21875
2000-06-29,25.5
2000-06-30,24.625
2000-07-03,25.3125
2000-07-05,25.125
2000-07-06,25.5
2000-07-07,26.0625
2000-07-10,26.0625
2000-07-11,26.3125
2000-07-12,25.75
2000-07-13,25.75
2000-07-14,25.5625
2000-07-17,25.9375
2000-07-18,26.0
2000-07-19,26.8125
2000-07-20,26.4375
2000-07-21,26.3125
2000-07-24,26.0
2000-07-25,26.375
2000-07-26,25.8125
2000-07-27,26.0
2000-07-28,26.4375
2000-07-31,25.875
2000-08-01,26.75
2000-08-02,27.625
2000-08-03,28.828125
2000-08-04,28.4375
2000-08-07,28.890625
2000-08-08,28.8125
2000-08-09,28.484375
2000-08-10,28.265625
2000-08-11,28.5625
2000-08-14,28.75
2000-08-15,29.1875
2000-08-16,28.953125
2000-08-17,28.875
2000-08-18,28.890625
2000-08-21,28.75
2000-08-22,28.625
2000-08-23,28.75
2000-08-24,28.3125
2000-08-25,27.9375
2000-08-28,28.5625
2000-08-29,28.3125
2000-08-30,28.4375
2000-08-31,28.953125
2000-09-01,28.890625
2000-09-05,29.4375
2000-09-06,29.9375
2000-09-07,30.0625
2000-09-08,30.53125
2000-09-11,31.640625
2000-09-12,30.9375
2000-09-13,30.3125
2000-09-14,29.375
2000-09-15,28.3125
2000-09-18,27.671875
2000-09-19,25.875
2000-09-20,22.8125
2000-09-21,23.1875
2000-09-22,26.0
2000-09-25,26.375
2000-09-26,27.3125
2000-09-27,25.390625
2000-09-28,24.625
2000-09-29,24.203125
2000-10-02,24.75
2000-10-03,24.25
2000-10-04,23.8125
2000-10-05,23.625
2000-10-06,24.75
2000-10-09,25.0625
2000-10-10,25.5625
2000-10-11,26.875
2000-10-12,26.875
2000-10-13,28.0625
2000-10-16,28.375
2000-10-17,28.625
2000-10-18,28.1875
2000-10-19,28.1875
2000-10-20,27.8125
2000-10-23,29.0625
2000-10-24,29.1875
2000-10-25,27.5625
2000-10-26,27.125
2000-10-27,27.125
2000-10-30,27.125
2000-10-31,26.9375
2000-11-01,28.0625
2000-11-02,27.6875
2000-11-03,27.125
2000-11-06,27.25
2000-11-07,26.5625
2000-11-08,26.6875
2000-11-09,26.8125
2000-11-10,27.125
2000-11-13,27.6875
2000-11-14,27.0
2000-11-15,28.0
2000-11-16,28.0
2000-11-17,28.625
2000-11-20,28.625
2000-11-21,27.875
2000-11-22,28.0
2000-11-24,27.9375
2000-11-27,27.1875
2000-11-28,27.625
2000-11-29,27.625
2000-11-30,27.4375
2000-12-01,26.9375
2000-12-04,26.8125
2000-12-05,26.3125
2000-12-06,25.5
2000-12-07,24.9375
2000-12-08,23.5625
2000-12-11,21.9375
2000-12-12,21.625
2000-12-13,21.1875
2000-12-14,22.875
2000-12-15,24.0625
2000-12-18,23.625
2000-12-19,22.375
2000-12-20,20.9375
2000-12-21,18.25
2000-12-22,20.0625
2000-12-26,19.8125
2000-12-27,19.875
2000-12-28,19.4375
2000-12-29,20.0
2001-01-02,19.5625
2001-01-03,17.0
2001-01-04,12.0
2001-01-05,12.625
2001-01-08,14.0
2001-01-09,13.5
2001-01-10,13.5625
2001-01-11,12.3125
2001-01-12,11.5625
2001-01-16,10.9375
2001-01-17,9.625
2001-01-18,9.75
2001-01-19,10.1875
2001-01-22,9.75
2001-01-23,9.5625
2001-01-24,9.9375
2001-01-25,13.0
2001-01-26,12.5
2001-01-29,14.020000457763672
2001-01-30,15.229999542236328
2001-01-31,14.25
2001-02-01,14.3100004196167
2001-02-02,13.739999771118164
2001-02-05,13.600000381469727
2001-02-06,12.920000076293945
2001-02-07,12.899999618530273
2001-02-08,12.920000076293945
2001-02-09,13.050000190734863
2001-02-12,12.550000190734863
2001-02-13,12.300000190734863
2001-02-14,12.5
2001-02-15,12.84000015258789
2001-02-16,13.0
2001-02-20,12.989999771118164
2001-02-21,13.0600004196167
2001-02-22,14.550000190734863
2001-02-23,13.699999809265137
2001-02-26,13.970000267028809
2001-02-27,14.050000190734863
2001-02-28,13.960000038146973
