Date,Settle
1999-12-31,40.28125
2000-01-03,39.15625
2000-01-04,38.40625
2000-01-05,40.5
2000-01-06,42.59375
2000-01-07,42.46875
2000-01-10,41.875
2000-01-11,42.0
2000-01-12,41.75
2000-01-13,42.71875
2000-01-14,41.875
2000-01-18,42.375
2000-01-19,42.78125
2000-01-20,41.84375
2000-01-21,42.5
2000-01-24,42.125
2000-01-25,42.03125
2000-01-26,41.75
2000-01-27,40.5
2000-01-28,39.4375
2000-01-31,41.4375
2000-02-01,41.59375
2000-02-02,41.90625
2000-02-03,41.1875
2000-02-04,40.4375
2000-02-07,40.375
2000-02-08,39.46875
2000-02-09,38.125
2000-02-10,37.9375
2000-02-11,36.9375
2000-02-14,38.21875
2000-02-15,39.65625
2000-02-16,40.0
2000-02-17,38.9375
2000-02-18,37.5
2000-02-22,37.71875
2000-02-23,37.3125
2000-02-24,36.40625
2000-02-25,35.53125
2000-02-28,36.75
2000-02-29,37.65625
2000-03-01,38.03125
2000-03-02,38.5
2000-03-03,37.84375
2000-03-06,36.46875
2000-03-07,40.0
2000-03-08,39.8125
2000-03-09,40.21875
2000-03-10,38.515625
2000-03-13,37.9375
2000-03-14,38.625
2000-03-15,38.875
2000-03-16,39.875
2000-03-17,38.5625
2000-03-20,37.4375
2000-03-21,38.5
2000-03-22,37.46875
2000-03-23,37.75
2000-03-24,38.625
2000-03-27,38.2578125
2000-03-28,39.5
2000-03-29,40.25
2000-03-30,39.3125
2000-03-31,39.0
2000-04-03,40.25
2000-04-04,41.25
2000-04-05,39.875
2000-04-06,40.875
2000-04-07,39.78125
2000-04-10,39.125
2000-04-11,39.6875
2000-04-12,39.96875
2000-04-13,40.0
2000-04-14,39.375
2000-04-17,37.75
2000-04-18,38.09375
2000-04-19,38.71875
2000-04-20,39.5
2000-04-24,39.9375
2000-04-25,40.5
2000-04-26,40.0625
2000-04-27,40.34375
2000-04-28,38.84375
2000-05-01,39.0
2000-05-02,39.125
2000-05-03,38.75
2000-05-04,39.75
2000-05-05,40.0
2000-05-08,40.21875
2000-05-09,39.71875
2000-05-10,40.75
2000-05-11,41.46875
2000-05-12,41.015625
2000-05-15,41.8125
2000-05-16,41.625
2000-05-17,40.6875
2000-05-18,40.7265625
2000-05-19,40.875
2000-05-22,41.65625
2000-05-23,41.5
2000-05-24,41.46875
2000-05-25,40.71875
2000-05-26,41.1875
2000-05-30,41.75
2000-05-31,41.65625
2000-06-01,41.46875
2000-06-02,39.59375
2000-06-05,39.65625
2000-06-06,41.15625
2000-06-07,40.5625
2000-06-08,40.03125
2000-06-09,39.59375
2000-06-12,40.375
2000-06-13,40.59375
2000-06-14,41.3125
2000-06-15,41.21875
2000-06-16,42.1875
2000-06-19,42.03125
2000-06-20,41.625
2000-06-21,41.9765625
2000-06-22,41.34375
2000-06-23,41.5625
2000-06-26,41.6796875
2000-06-27,41.03125
2000-06-28,41.0625
2000-06-29,40.6015625
2000-06-30,39.25
2000-07-03,39.7734375
2000-07-05,38.46875
2000-07-06,39.09375
2000-07-07,39.2578125
2000-07-10,39.0625
2000-07-11,40.28125
2000-07-12,39.3046875
2000-07-13,39.0
2000-07-14,38.78125
2000-07-17,39.375
2000-07-18,39.09375
2000-07-19,39.34375
2000-07-20,39.0625
2000-07-21,38.5625
2000-07-24,38.625
2000-07-25,37.6875
2000-07-26,38.09375
2000-07-27,40.25
2000-07-28,40.0
2000-07-31,40.09375
2000-08-01,40.0
2000-08-02,41.4375
2000-08-03,40.71875
2000-08-04,40.8515625
2000-08-07,40.4453125
2000-08-08,40.3984375
2000-08-09,40.53125
2000-08-10,40.5
2000-08-11,40.6875
2000-08-14,41.28125
2000-08-15,40.65625
2000-08-16,41.3828125
2000-08-17,41.90625
2000-08-18,41.4609375
2000-08-21,41.75
2000-08-22,41.5625
2000-08-23,42.25
2000-08-24,41.46875
2000-08-25,41.46875
2000-08-28,41.40625
2000-08-29,41.2578125
2000-08-30,40.6796875
2000-08-31,40.8203125
2000-09-01,41.25
2000-09-05,41.6875
2000-09-06,41.5
2000-09-07,41.875
2000-09-08,41.75
2000-09-11,42.4921875
2000-09-12,42.875
2000-09-13,42.90625
2000-09-14,42.6328125
2000-09-15,44.0
2000-09-18,44.8203125
2000-09-19,44.0
2000-09-20,43.25
2000-09-21,43.15625
2000-09-22,43.25
2000-09-25,42.9296875
2000-09-26,43.3125
2000-09-27,44.625
2000-09-28,44.5703125
2000-09-29,44.5546875
2000-10-02,45.71875
2000-10-03,45.40625
2000-10-04,44.625
2000-10-05,44.59375
2000-10-06,44.71875
2000-10-09,45.5625
2000-10-10,46.65625
2000-10-11,46.875
2000-10-12,47.0625
2000-10-13,45.25
2000-10-16,43.90625
2000-10-17,43.90625
2000-10-18,43.28125
2000-10-19,43.25
2000-10-20,44.21875
2000-10-23,44.53125
2000-10-24,43.375
2000-10-25,43.59375
2000-10-26,43.875
2000-10-27,43.78125
2000-10-30,44.71875
2000-10-31,44.59375
2000-11-01,46.03125
2000-11-02,44.09375
2000-11-03,43.75
2000-11-06,44.34375
2000-11-07,44.5
2000-11-08,45.34375
2000-11-09,44.9375
2000-11-10,44.78125
2000-11-13,44.96875
2000-11-14,44.9375
2000-11-15,45.1875
2000-11-16,45.34375
2000-11-17,45.15625
2000-11-20,45.6875
2000-11-21,46.5625
2000-11-22,47.125
2000-11-24,47.21875
2000-11-27,46.5625
2000-11-28,46.53125
2000-11-29,44.46875
2000-11-30,44.0
2000-12-01,44.40625
2000-12-04,45.34375
2000-12-05,44.1875
2000-12-06,43.125
2000-12-07,44.0
2000-12-08,44.25
2000-12-11,42.875
2000-12-12,43.28125
2000-12-13,43.84375
2000-12-14,42.75
2000-12-15,42.0625
2000-12-18,43.1875
