date,t,cp_location,cp_location_norm,cp_score
2006-03-29,126,NA,NA,NA
2006-03-30,127,NA,NA,NA
2006-03-31,128,NA,NA,NA
2006-04-03,129,NA,NA,NA
2006-04-04,130,NA,NA,NA
2006-04-05,131,NA,NA,NA
2006-04-06,132,NA,NA,NA
2006-04-07,133,NA,NA,NA
2006-04-10,134,NA,NA,NA
2006-04-11,135,NA,NA,NA
2006-04-12,136,NA,NA,NA
2006-04-13,137,NA,NA,NA
2006-04-17,138,NA,NA,NA
2006-04-18,139,NA,NA,NA
2006-04-19,140,NA,NA,NA
2006-04-20,141,NA,NA,NA
2006-04-21,142,NA,NA,NA
2006-04-24,143,NA,NA,NA
2006-04-25,144,NA,NA,NA
2006-04-26,145,NA,NA,NA
2006-04-27,146,NA,NA,NA
2006-04-28,147,NA,NA,NA
2006-05-01,148,NA,NA,NA
2006-05-02,149,NA,NA,NA
2006-05-03,150,NA,NA,NA
2006-05-04,151,NA,NA,NA
2006-05-05,152,NA,NA,NA
2006-05-08,153,NA,NA,NA
2006-05-09,154,NA,NA,NA
2006-05-10,155,NA,NA,NA
2006-05-11,156,NA,NA,NA
2006-05-12,157,NA,NA,NA
2006-05-15,158,NA,NA,NA
2006-05-16,159,NA,NA,NA
2006-05-17,160,NA,NA,NA
2006-05-18,161,NA,NA,NA
2006-05-19,162,NA,NA,NA
2006-05-22,163,NA,NA,NA
2006-05-23,164,NA,NA,NA
2006-05-24,165,NA,NA,NA
2006-05-25,166,NA,NA,NA
2006-05-26,167,NA,NA,NA
2006-05-30,168,NA,NA,NA
2006-05-31,169,NA,NA,NA
2006-06-01,170,NA,NA,NA
2006-06-02,171,NA,NA,NA
2006-06-05,172,NA,NA,NA
2006-06-06,173,NA,NA,NA
2006-06-07,174,NA,NA,NA
2006-06-08,175,NA,NA,NA
2006-06-09,176,NA,NA,NA
2006-06-12,177,NA,NA,NA
2006-06-13,178,NA,NA,NA
2006-06-14,179,NA,NA,NA
2006-06-15,180,NA,NA,NA
2006-06-16,181,NA,NA,NA
2006-06-19,182,NA,NA,NA
2006-06-20,183,NA,NA,NA
2006-06-21,184,NA,NA,NA
2006-06-22,185,NA,NA,NA
2006-06-23,186,NA,NA,NA
2006-06-26,187,NA,NA,NA
2006-06-27,188,NA,NA,NA
2006-06-28,189,NA,NA,NA
2006-06-29,190,NA,NA,NA
2006-06-30,191,NA,NA,NA
2006-07-03,192,NA,NA,NA
2006-07-05,193,NA,NA,NA
2006-07-06,194,NA,NA,NA
2006-07-07,195,NA,NA,NA
2006-07-10,196,NA,NA,NA
2006-07-11,197,NA,NA,NA
2006-07-12,198,NA,NA,NA
2006-07-13,199,NA,NA,NA
2006-07-14,200,NA,NA,NA
2006-07-17,201,NA,NA,NA
2006-07-18,202,NA,NA,NA
2006-07-19,203,NA,NA,NA
2006-07-20,204,NA,NA,NA
2006-07-21,205,NA,NA,NA
2006-07-24,206,NA,NA,NA
2006-07-25,207,NA,NA,NA
2006-07-26,208,NA,NA,NA
2006-07-27,209,NA,NA,NA
2006-07-28,210,NA,NA,NA
2006-07-31,211,NA,NA,NA
2006-08-01,212,NA,NA,NA
2006-08-02,213,NA,NA,NA
2006-08-03,214,NA,NA,NA
2006-08-04,215,NA,NA,NA
2006-08-07,216,NA,NA,NA
2006-08-08,217,NA,NA,NA
2006-08-09,218,NA,NA,NA
2006-08-10,219,NA,NA,NA
2006-08-11,220,NA,NA,NA
2006-08-14,221,NA,NA,NA
2006-08-15,222,NA,NA,NA
2006-08-16,223,NA,NA,NA
2006-08-17,224,NA,NA,NA
2006-08-18,225,NA,NA,NA
2006-08-21,226,NA,NA,NA
2006-08-22,227,NA,NA,NA
2006-08-23,228,NA,NA,NA
2006-08-24,229,NA,NA,NA
2006-08-25,230,NA,NA,NA
2006-08-28,231,NA,NA,NA
2006-08-29,232,NA,NA,NA
