date,t,cp_location,cp_location_norm,cp_score
2007-10-31,126,NA,NA,NA
2007-11-01,127,NA,NA,NA
2007-11-02,128,NA,NA,NA
2007-11-05,129,NA,NA,NA
2007-11-06,130,NA,NA,NA
2007-11-07,131,NA,NA,NA
2007-11-08,132,NA,NA,NA
2007-11-09,133,NA,NA,NA
2007-11-12,134,NA,NA,NA
2007-11-13,135,NA,NA,NA
2007-11-14,136,NA,NA,NA
2007-11-15,137,NA,NA,NA
2007-11-16,138,NA,NA,NA
2007-11-19,139,NA,NA,NA
2007-11-20,140,NA,NA,NA
2007-11-21,141,NA,NA,NA
2007-11-23,142,NA,NA,NA
2007-11-26,143,NA,NA,NA
2007-11-27,144,NA,NA,NA
2007-11-28,145,NA,NA,NA
2007-11-29,146,NA,NA,NA
2007-11-30,147,NA,NA,NA
2007-12-03,148,NA,NA,NA
2007-12-04,149,NA,NA,NA
2007-12-05,150,NA,NA,NA
2007-12-06,151,NA,NA,NA
2007-12-07,152,NA,NA,NA
2007-12-10,153,NA,NA,NA
2007-12-11,154,NA,NA,NA
2007-12-12,155,NA,NA,NA
2007-12-13,156,NA,NA,NA
2007-12-14,157,NA,NA,NA
2007-12-17,158,NA,NA,NA
2007-12-18,159,NA,NA,NA
2007-12-19,160,NA,NA,NA
2007-12-20,161,NA,NA,NA
2007-12-21,162,NA,NA,NA
2007-12-24,163,NA,NA,NA
2007-12-26,164,NA,NA,NA
2007-12-27,165,NA,NA,NA
2007-12-28,166,NA,NA,NA
2007-12-31,167,NA,NA,NA
2008-01-02,168,NA,NA,NA
2008-01-03,169,NA,NA,NA
2008-01-04,170,NA,NA,NA
2008-01-07,171,NA,NA,NA
2008-01-08,172,NA,NA,NA
2008-01-09,173,NA,NA,NA
2008-01-10,174,NA,NA,NA
2008-01-11,175,NA,NA,NA
2008-01-14,176,NA,NA,NA
2008-01-15,177,NA,NA,NA
2008-01-16,178,NA,NA,NA
2008-01-17,179,NA,NA,NA
2008-01-18,180,NA,NA,NA
2008-01-22,181,NA,NA,NA
2008-01-23,182,NA,NA,NA
2008-01-24,183,NA,NA,NA
2008-01-25,184,NA,NA,NA
2008-01-28,185,NA,NA,NA
2008-01-29,186,NA,NA,NA
2008-01-30,187,NA,NA,NA
2008-01-31,188,NA,NA,NA
2008-02-01,189,NA,NA,NA
2008-02-04,190,NA,NA,NA
2008-02-05,191,NA,NA,NA
2008-02-06,192,NA,NA,NA
2008-02-07,193,NA,NA,NA
2008-02-08,194,NA,NA,NA
2008-02-11,195,NA,NA,NA
2008-02-12,196,NA,NA,NA
2008-02-13,197,NA,NA,NA
2008-02-14,198,NA,NA,NA
2008-02-15,199,NA,NA,NA
2008-02-19,200,NA,NA,NA
2008-02-20,201,NA,NA,NA
2008-02-21,202,NA,NA,NA
2008-02-22,203,NA,NA,NA
2008-02-25,204,NA,NA,NA
2008-02-26,205,NA,NA,NA
2008-02-27,206,NA,NA,NA
2008-02-28,207,NA,NA,NA
2008-02-29,208,NA,NA,NA
2008-03-03,209,NA,NA,NA
2008-03-04,210,NA,NA,NA
2008-03-05,211,NA,NA,NA
2008-03-06,212,NA,NA,NA
2008-03-07,213,NA,NA,NA
2008-03-10,214,NA,NA,NA
2008-03-11,215,NA,NA,NA
2008-03-12,216,NA,NA,NA
2008-03-13,217,NA,NA,NA
2008-03-14,218,NA,NA,NA
2008-03-17,219,NA,NA,NA
2008-03-18,220,NA,NA,NA
2008-03-19,221,NA,NA,NA
2008-03-20,222,NA,NA,NA
2008-03-24,223,NA,NA,NA
2008-03-25,224,NA,NA,NA
2008-03-26,225,NA,NA,NA
2008-03-27,226,NA,NA,NA
2008-03-28,227,NA,NA,NA
2008-03-31,228,NA,NA,NA
2008-04-01,229,NA,NA,NA
2008-04-02,230,NA,NA,NA
2008-04-03,231,NA,NA,NA
2008-04-04,232,NA,NA,NA
2008-04-07,233,NA,NA,NA
2008-04-08,234,NA,NA,NA
2008-04-09,235,NA,NA,NA
2008-04-10,236,NA,NA,NA
2008-04-11,237,NA,NA,NA
2008-04-14,238,NA,NA,NA
2008-04-15,239,NA,NA,NA
2008-04-16,240,NA,NA,NA
2008-04-17,241,NA,NA,NA
2008-04-18,242,NA,NA,NA
2008-04-21,243,NA,NA,NA
2008-04-22,244,NA,NA,NA
2008-04-23,245,NA,NA,NA
2008-04-24,246,NA,NA,NA
2008-04-25,247,NA,NA,NA
2008-04-28,248,NA,NA,NA
2008-04-29,249,NA,NA,NA
2008-04-30,250,NA,NA,NA
2008-05-01,251,NA,NA,NA
2008-05-02,252,NA,NA,NA
2008-05-05,253,NA,NA,NA
2008-05-06,254,NA,NA,NA
2008-05-07,255,NA,NA,NA
2008-05-08,256,NA,NA,NA
2008-05-09,257,NA,NA,NA
2008-05-12,258,NA,NA,NA
2008-05-13,259,NA,NA,NA
2008-05-14,260,NA,NA,NA
2008-05-15,261,NA,NA,NA
2008-05-16,262,NA,NA,NA
2008-05-19,263,NA,NA,NA
2008-05-20,264,NA,NA,NA
2008-05-21,265,NA,NA,NA
2008-05-22,266,NA,NA,NA
2008-05-23,267,NA,NA,NA
2008-05-27,268,NA,NA,NA
2008-05-28,269,NA,NA,NA
2008-05-29,270,NA,NA,NA
2008-05-30,271,NA,NA,NA
2008-06-02,272,NA,NA,NA
2008-06-03,273,NA,NA,NA
2008-06-04,274,NA,NA,NA
2008-06-05,275,NA,NA,NA
2008-06-06,276,NA,NA,NA
2008-06-09,277,NA,NA,NA
2008-06-10,278,NA,NA,NA
2008-06-11,279,NA,NA,NA
2008-06-12,280,NA,NA,NA
2008-06-13,281,NA,NA,NA
2008-06-16,282,NA,NA,NA
2008-06-17,283,NA,NA,NA
2008-06-18,284,NA,NA,NA
2008-06-19,285,NA,NA,NA
2008-06-20,286,NA,NA,NA
2008-06-23,287,NA,NA,NA
2008-06-24,288,NA,NA,NA
2008-06-25,289,NA,NA,NA
2008-06-26,290,NA,NA,NA
2008-06-27,291,NA,NA,NA
2008-06-30,292,NA,NA,NA
2008-07-01,293,NA,NA,NA
2008-07-02,294,NA,NA,NA
2008-07-03,295,NA,NA,NA
2008-07-07,296,NA,NA,NA
2008-07-08,297,NA,NA,NA
2008-07-09,298,NA,NA,NA
2008-07-10,299,NA,NA,NA
2008-07-11,300,NA,NA,NA
2008-07-14,301,NA,NA,NA
2008-07-15,302,NA,NA,NA
2008-07-16,303,NA,NA,NA
2008-07-17,304,NA,NA,NA
2008-07-18,305,NA,NA,NA
2008-07-21,306,NA,NA,NA
2008-07-22,307,NA,NA,NA
2008-07-23,308,NA,NA,NA
2008-07-24,309,NA,NA,NA
2008-07-25,310,NA,NA,NA
2008-07-28,311,NA,NA,NA
2008-07-29,312,NA,NA,NA
2008-07-30,313,NA,NA,NA
2008-07-31,314,NA,NA,NA
2008-08-01,315,NA,NA,NA
2008-08-04,316,NA,NA,NA
2008-08-05,317,NA,NA,NA
2008-08-06,318,NA,NA,NA
2008-08-07,319,NA,NA,NA
2008-08-08,320,NA,NA,NA
2008-08-11,321,NA,NA,NA
2008-08-12,322,NA,NA,NA
2008-08-13,323,NA,NA,NA
2008-08-14,324,NA,NA,NA
2008-08-15,325,NA,NA,NA
2008-08-18,326,NA,NA,NA
2008-08-19,327,NA,NA,NA
2008-08-20,328,NA,NA,NA
2008-08-21,329,NA,NA,NA
2008-08-22,330,NA,NA,NA
2008-08-25,331,NA,NA,NA
2008-08-26,332,NA,NA,NA
2008-08-27,333,NA,NA,NA
2008-08-28,334,NA,NA,NA
2008-08-29,335,NA,NA,NA
2008-09-02,336,NA,NA,NA
2008-09-03,337,NA,NA,NA
2008-09-04,338,NA,NA,NA
2008-09-05,339,NA,NA,NA
2008-09-08,340,NA,NA,NA
2008-09-09,341,NA,NA,NA
2008-09-10,342,NA,NA,NA
2008-09-11,343,NA,NA,NA
2008-09-12,344,NA,NA,NA
2008-09-15,345,NA,NA,NA
2008-09-16,346,NA,NA,NA
2008-09-17,347,NA,NA,NA
2008-09-18,348,NA,NA,NA
2008-09-19,349,NA,NA,NA
2008-09-22,350,NA,NA,NA
2008-09-23,351,NA,NA,NA
2008-09-24,352,NA,NA,NA
2008-09-25,353,NA,NA,NA
2008-09-26,354,NA,NA,NA
2008-09-29,355,NA,NA,NA
2008-09-30,356,NA,NA,NA
2008-10-01,357,NA,NA,NA
2008-10-02,358,NA,NA,NA
2008-10-03,359,NA,NA,NA
2008-10-06,360,NA,NA,NA
2008-10-07,361,NA,NA,NA
2008-10-08,362,NA,NA,NA
2008-10-09,363,NA,NA,NA
2008-10-10,364,NA,NA,NA
2008-10-13,365,NA,NA,NA
2008-10-14,366,NA,NA,NA
2008-10-15,367,NA,NA,NA
2008-10-16,368,NA,NA,NA
2008-10-17,369,NA,NA,NA
2008-10-20,370,NA,NA,NA
2008-10-21,371,NA,NA,NA
2008-10-22,372,NA,NA,NA
2008-10-23,373,NA,NA,NA
2008-10-24,374,NA,NA,NA
2008-10-27,375,NA,NA,NA
2008-10-28,376,NA,NA,NA
2008-10-29,377,NA,NA,NA
2008-10-30,378,NA,NA,NA
2008-10-31,379,NA,NA,NA
2008-11-03,380,NA,NA,NA
2008-11-04,381,NA,NA,NA
2008-11-05,382,NA,NA,NA
2008-11-06,383,NA,NA,NA
2008-11-07,384,NA,NA,NA
2008-11-10,385,NA,NA,NA
2008-11-11,386,NA,NA,NA
2008-11-12,387,NA,NA,NA
2008-11-13,388,NA,NA,NA
2008-11-14,389,NA,NA,NA
2008-11-17,390,NA,NA,NA
2008-11-18,391,NA,NA,NA
2008-11-19,392,NA,NA,NA
2008-11-20,393,NA,NA,NA
2008-11-21,394,NA,NA,NA
2008-11-24,395,NA,NA,NA
2008-11-25,396,NA,NA,NA
2008-11-26,397,NA,NA,NA
2008-11-28,398,NA,NA,NA
2008-12-01,399,NA,NA,NA
2008-12-02,400,NA,NA,NA
2008-12-03,401,NA,NA,NA
2008-12-04,402,NA,NA,NA
2008-12-05,403,NA,NA,NA
2008-12-08,404,NA,NA,NA
2008-12-09,405,NA,NA,NA
2008-12-10,406,NA,NA,NA
2008-12-11,407,NA,NA,NA
2008-12-12,408,NA,NA,NA
2008-12-15,409,NA,NA,NA
2008-12-16,410,NA,NA,NA
2008-12-17,411,NA,NA,NA
2008-12-18,412,NA,NA,NA
2008-12-19,413,NA,NA,NA
2008-12-22,414,NA,NA,NA
2008-12-23,415,NA,NA,NA
2008-12-24,416,NA,NA,NA
2008-12-26,417,NA,NA,NA
2008-12-29,418,NA,NA,NA
2008-12-30,419,NA,NA,NA
2008-12-31,420,NA,NA,NA
2009-01-02,421,NA,NA,NA
2009-01-05,422,NA,NA,NA
2009-01-06,423,NA,NA,NA
2009-01-07,424,NA,NA,NA
2009-01-08,425,NA,NA,NA
2009-01-09,426,NA,NA,NA
2009-01-12,427,NA,NA,NA
2009-01-13,428,NA,NA,NA
2009-01-14,429,NA,NA,NA
2009-01-15,430,NA,NA,NA
2009-01-16,431,NA,NA,NA
2009-01-20,432,NA,NA,NA
2009-01-21,433,NA,NA,NA
2009-01-22,434,NA,NA,NA
2009-01-23,435,NA,NA,NA
2009-01-26,436,NA,NA,NA
2009-01-27,437,NA,NA,NA
2009-01-28,438,NA,NA,NA
2009-01-29,439,NA,NA,NA
2009-01-30,440,NA,NA,NA
