date,t,cp_location,cp_location_norm,cp_score
2006-08-04,126,NA,NA,NA
2006-08-07,127,NA,NA,NA
2006-08-08,128,NA,NA,NA
2006-08-09,129,NA,NA,NA
2006-08-10,130,NA,NA,NA
2006-08-11,131,NA,NA,NA
2006-08-14,132,NA,NA,NA
2006-08-15,133,NA,NA,NA
2006-08-16,134,NA,NA,NA
2006-08-17,135,NA,NA,NA
2006-08-18,136,NA,NA,NA
2006-08-21,137,NA,NA,NA
2006-08-22,138,NA,NA,NA
2006-08-23,139,NA,NA,NA
2006-08-24,140,NA,NA,NA
2006-08-25,141,NA,NA,NA
2006-08-28,142,NA,NA,NA
2006-08-29,143,NA,NA,NA
2006-08-30,144,NA,NA,NA
2006-08-31,145,NA,NA,NA
2006-09-01,146,NA,NA,NA
2006-09-05,147,NA,NA,NA
2006-09-06,148,NA,NA,NA
2006-09-07,149,NA,NA,NA
2006-09-08,150,NA,NA,NA
2006-09-11,151,NA,NA,NA
2006-09-12,152,NA,NA,NA
2006-09-13,153,NA,NA,NA
2006-09-14,154,NA,NA,NA
2006-09-15,155,NA,NA,NA
2006-09-18,156,NA,NA,NA
2006-09-19,157,NA,NA,NA
2006-09-20,158,NA,NA,NA
2006-09-21,159,NA,NA,NA
2006-09-22,160,NA,NA,NA
2006-09-25,161,NA,NA,NA
2006-09-26,162,NA,NA,NA
2006-09-27,163,NA,NA,NA
2006-09-28,164,NA,NA,NA
2006-09-29,165,NA,NA,NA
2006-10-02,166,NA,NA,NA
2006-10-03,167,NA,NA,NA
2006-10-04,168,NA,NA,NA
2006-10-05,169,NA,NA,NA
2006-10-06,170,NA,NA,NA
2006-10-09,171,NA,NA,NA
2006-10-10,172,NA,NA,NA
2006-10-11,173,NA,NA,NA
2006-10-12,174,NA,NA,NA
2006-10-13,175,NA,NA,NA
2006-10-16,176,NA,NA,NA
2006-10-17,177,NA,NA,NA
2006-10-18,178,NA,NA,NA
2006-10-19,179,NA,NA,NA
2006-10-20,180,NA,NA,NA
2006-10-23,181,NA,NA,NA
2006-10-24,182,NA,NA,NA
2006-10-25,183,NA,NA,NA
2006-10-26,184,NA,NA,NA
2006-10-27,185,NA,NA,NA
2006-10-30,186,NA,NA,NA
2006-10-31,187,NA,NA,NA
2006-11-01,188,NA,NA,NA
2006-11-02,189,NA,NA,NA
2006-11-03,190,NA,NA,NA
