date,t,cp_location,cp_location_norm,cp_score
2011-05-20,126,NA,NA,NA
2011-05-23,127,NA,NA,NA
2011-05-24,128,NA,NA,NA
2011-05-25,129,NA,NA,NA
2011-05-26,130,NA,NA,NA
2011-05-27,131,NA,NA,NA
2011-05-31,132,NA,NA,NA
2011-06-01,133,NA,NA,NA
2011-06-02,134,NA,NA,NA
2011-06-03,135,NA,NA,NA
2011-06-06,136,NA,NA,NA
2011-06-07,137,NA,NA,NA
2011-06-08,138,NA,NA,NA
2011-06-09,139,NA,NA,NA
2011-06-10,140,NA,NA,NA
2011-06-13,141,NA,NA,NA
2011-06-14,142,NA,NA,NA
2011-06-15,143,NA,NA,NA
2011-06-16,144,NA,NA,NA
2011-06-17,145,NA,NA,NA
2011-06-20,146,NA,NA,NA
2011-06-21,147,NA,NA,NA
2011-06-22,148,NA,NA,NA
2011-06-23,149,NA,NA,NA
2011-06-24,150,NA,NA,NA
2011-06-27,151,NA,NA,NA
2011-06-28,152,NA,NA,NA
2011-06-29,153,NA,NA,NA
2011-06-30,154,NA,NA,NA
2011-07-01,155,NA,NA,NA
2011-07-05,156,NA,NA,NA
2011-07-06,157,NA,NA,NA
2011-07-07,158,NA,NA,NA
2011-07-08,159,NA,NA,NA
2011-07-11,160,NA,NA,NA
2011-07-12,161,NA,NA,NA
2011-07-13,162,NA,NA,NA
2011-07-14,163,NA,NA,NA
2011-07-15,164,NA,NA,NA
2011-07-18,165,NA,NA,NA
2011-07-19,166,NA,NA,NA
2011-07-20,167,NA,NA,NA
2011-07-21,168,NA,NA,NA
2011-07-22,169,NA,NA,NA
2011-07-25,170,NA,NA,NA
2011-07-26,171,NA,NA,NA
2011-07-27,172,NA,NA,NA
2011-07-28,173,NA,NA,NA
2011-07-29,174,NA,NA,NA
2011-08-01,175,NA,NA,NA
2011-08-02,176,NA,NA,NA
2011-08-03,177,NA,NA,NA
2011-08-04,178,NA,NA,NA
2011-08-05,179,NA,NA,NA
2011-08-08,180,NA,NA,NA
2011-08-09,181,NA,NA,NA
2011-08-10,182,NA,NA,NA
2011-08-11,183,NA,NA,NA
2011-08-12,184,NA,NA,NA
2011-08-15,185,NA,NA,NA
2011-08-16,186,NA,NA,NA
2011-08-17,187,NA,NA,NA
2011-08-18,188,NA,NA,NA
2011-08-19,189,NA,NA,NA
2011-08-22,190,NA,NA,NA
2011-08-23,191,NA,NA,NA
2011-08-24,192,NA,NA,NA
2011-08-25,193,NA,NA,NA
2011-08-26,194,NA,NA,NA
2011-08-29,195,NA,NA,NA
2011-08-30,196,NA,NA,NA
2011-08-31,197,NA,NA,NA
2011-09-01,198,NA,NA,NA
2011-09-02,199,NA,NA,NA
2011-09-06,200,NA,NA,NA
2011-09-07,201,NA,NA,NA
2011-09-08,202,NA,NA,NA
2011-09-09,203,NA,NA,NA
2011-09-12,204,NA,NA,NA
2011-09-13,205,NA,NA,NA
2011-09-14,206,NA,NA,NA
2011-09-15,207,NA,NA,NA
2011-09-16,208,NA,NA,NA
2011-09-19,209,NA,NA,NA
2011-09-20,210,NA,NA,NA
2011-09-21,211,NA,NA,NA
2011-09-22,212,NA,NA,NA
2011-09-23,213,NA,NA,NA
2011-09-26,214,NA,NA,NA
2011-09-27,215,NA,NA,NA
2011-09-28,216,NA,NA,NA
2011-09-29,217,NA,NA,NA
2011-09-30,218,NA,NA,NA
2011-10-03,219,NA,NA,NA
2011-10-04,220,NA,NA,NA
2011-10-05,221,NA,NA,NA
2011-10-06,222,NA,NA,NA
2011-10-07,223,NA,NA,NA
2011-10-10,224,NA,NA,NA
2011-10-11,225,NA,NA,NA
2011-10-12,226,NA,NA,NA
2011-10-13,227,NA,NA,NA
2011-10-14,228,NA,NA,NA
2011-10-17,229,NA,NA,NA
2011-10-18,230,NA,NA,NA
2011-10-19,231,NA,NA,NA
2011-10-20,232,NA,NA,NA
2011-10-21,233,NA,NA,NA
2011-10-24,234,NA,NA,NA
2011-10-25,235,NA,NA,NA
2011-10-26,236,NA,NA,NA
2011-10-27,237,NA,NA,NA
2011-10-28,238,NA,NA,NA
2011-10-31,239,NA,NA,NA
2011-11-01,240,NA,NA,NA
2011-11-02,241,NA,NA,NA
2011-11-03,242,NA,NA,NA
2011-11-04,243,NA,NA,NA
2011-11-07,244,NA,NA,NA
2011-11-08,245,NA,NA,NA
2011-11-09,246,NA,NA,NA
2011-11-10,247,NA,NA,NA
2011-11-11,248,NA,NA,NA
2011-11-14,249,NA,NA,NA
2011-11-15,250,NA,NA,NA
2011-11-16,251,NA,NA,NA
2011-11-17,252,NA,NA,NA
2011-11-18,253,NA,NA,NA
2011-11-21,254,NA,NA,NA
2011-11-22,255,NA,NA,NA
2011-11-23,256,NA,NA,NA
2011-11-25,257,NA,NA,NA
2011-11-28,258,NA,NA,NA
2011-11-29,259,NA,NA,NA
2011-11-30,260,NA,NA,NA
2011-12-01,261,NA,NA,NA
2011-12-02,262,NA,NA,NA
2011-12-05,263,NA,NA,NA
2011-12-06,264,NA,NA,NA
2011-12-07,265,NA,NA,NA
2011-12-08,266,NA,NA,NA
2011-12-09,267,NA,NA,NA
2011-12-12,268,NA,NA,NA
2011-12-13,269,NA,NA,NA
2011-12-14,270,NA,NA,NA
2011-12-15,271,NA,NA,NA
2011-12-16,272,NA,NA,NA
2011-12-19,273,NA,NA,NA
